0.8675936798977921		SimpleArgument(flat fee - No Court Divorce,List([44, 71)))	Relation(Established in,List([72, 83), [84, 86)))	TemporalArgument(2006,List([87, 91)))	Florida Cheap Divorce - Simple Divorce $280 flat fee - No Court Divorce Established in 2006.
0.4978219019954182		SimpleArgument(Yamil Fuentes,List([5, 8)))	Relation(founded,List([9, 16)))	SimpleArgument(Apex Legal Document Preparation Services,List([17, 57)))	When she founded Apex Legal Document Preparation Services she became a Premium Member of the FALDP (Florida Association of Legal Document Preparers) and educated herself on the different types of divorce been offered across the State of Florida and learned from the best in the industry of legal document preparation services.
0.57995656109811	Context(she embarked making,List([23, 133)))	SimpleArgument(her company,List([134, 145)))	Relation(most sought after,List([150, 161), [162, 167)))	TemporalArgument(divorce preparer in Florida,List([168, 195)))	Through her membership she embarked on a journey to learn how to make the divorce process as easy as possible for her clients, making her company the most sought after divorce preparer in Florida touting the following service 'Express Divorce - 30 Days with No Court Hearing'.
0.302522638185474	Context(she embarked,List([23, 35)))	SimpleArgument(Yamil Fuentes,List([23, 26)))	Relation(embarked on a journey making,List([27, 35), [36, 38)))	SimpleArgument(her company the most sought after divorce preparer in Florida,List([134, 195)))	Through her membership she embarked on a journey to learn how to make the divorce process as easy as possible for her clients, making her company the most sought after divorce preparer in Florida touting the following service 'Express Divorce - 30 Days with No Court Hearing'.
0.3880890333449538		SimpleArgument(Yamil Fuentes,List([23, 26)))	Relation(embarked on,List([27, 35), [36, 38)))	SimpleArgument(a journey,List([39, 48)))	Through her membership she embarked on a journey to learn how to make the divorce process as easy as possible for her clients, making her company the most sought after divorce preparer in Florida touting the following service 'Express Divorce - 30 Days with No Court Hearing'.
0.7971095979125887		SimpleArgument(Apex,List([0, 4)))	Relation(has divorced hundreds of people,List([5, 8), [13, 21), [22, 40)))	TemporalArgument(now,List([9, 12)))	Apex has now divorced hundreds of people.
0.8821520356066511		SimpleArgument(Apex,List([0, 4)))	Relation(has divorced,List([5, 8), [13, 21)))	SimpleArgument(hundreds of people,List([22, 40)))	Apex has now divorced hundreds of people.
0.3413422140978484	Context(She has mastered,List([0, 16)))	SimpleArgument(Yamil Fuentes,List([0, 3)))	Relation(has mastered of preparing any type of divorce in,List([4, 16), [25, 37), [38, 57), [58, 60)))	SpatialArgument(the State of Florida,List([61, 81)))	She has mastered the art of preparing any type of divorce in the State of Florida.
0.3010306049122031	Context(She has mastered,List([0, 16)))	SimpleArgument(Yamil Fuentes,List([0, 3)))	Relation(has mastered of preparing,List([4, 16), [25, 37)))	SimpleArgument(any type of divorce,List([38, 57)))	She has mastered the art of preparing any type of divorce in the State of Florida.
0.5600415811619095		SimpleArgument(Yamil Fuentes,List([0, 3)))	Relation(has mastered,List([4, 16)))	SimpleArgument(the art of preparing any type of divorce in the State of Florida,List([17, 81)))	She has mastered the art of preparing any type of divorce in the State of Florida.
0.45170382506656653		SimpleArgument(Yamil Fuentes,List([0, 3)))	Relation(is not limited to,List([4, 18), [19, 21)))	SimpleArgument(her clients,List([22, 35)))	Many of her clients are in the South Florida area but she is not limited to these clients.
0.7202040575434281		SimpleArgument(Many of her clients,List([0, 19)))	Relation(are in,List([20, 23), [24, 26)))	SimpleArgument(the South Florida area,List([27, 49)))	Many of her clients are in the South Florida area but she is not limited to these clients.
