0.8667629255623509		SimpleArgument(FL Catering team,List([36, 52)))	Relation(is,List([53, 55)))	SimpleArgument(ready to begin,List([56, 70)))	Our innovative, well-known Orlando, FL Catering team is ready to begin.
0.8720035698750073		SimpleArgument(the culinary team,List([107, 124)))	Relation(won a gold medal at,List([130, 133), [134, 146), [193, 195)))	SpatialArgument(the Florida Restaurant Show,List([196, 223)))	Her experience include Specialty Restaurant Chef for the Renaissance Orlando Resort, where she was part of the culinary team that won a gold medal in the 1998 Culinary Super Challenge Cook-off at the Florida Restaurant Show.
0.9125462839307745		SimpleArgument(the culinary team,List([107, 124)))	Relation(won a gold medal in,List([130, 133), [134, 146), [147, 149)))	SpatialArgument(the 1998 Culinary Super Challenge Cook-off,List([150, 192)))	Her experience include Specialty Restaurant Chef for the Renaissance Orlando Resort, where she was part of the culinary team that won a gold medal in the 1998 Culinary Super Challenge Cook-off at the Florida Restaurant Show.
0.9200287634688749		SimpleArgument(the culinary team,List([107, 124)))	Relation(won,List([130, 133)))	SimpleArgument(a gold medal,List([134, 146)))	Her experience include Specialty Restaurant Chef for the Renaissance Orlando Resort, where she was part of the culinary team that won a gold medal in the 1998 Culinary Super Challenge Cook-off at the Florida Restaurant Show.
0.5961061943937731		SimpleArgument(Pam,List([91, 94)))	Relation(was part of the culinary team,List([95, 98), [99, 124)))	SpatialArgument(the Renaissance Orlando Resort,List([53, 83)))	Her experience include Specialty Restaurant Chef for the Renaissance Orlando Resort, where she was part of the culinary team that won a gold medal in the 1998 Culinary Super Challenge Cook-off at the Florida Restaurant Show.
0.5222094630377523		SimpleArgument(Pam,List([91, 94)))	Relation(was,List([95, 98)))	SimpleArgument(part of the culinary team,List([99, 124)))	Her experience include Specialty Restaurant Chef for the Renaissance Orlando Resort, where she was part of the culinary team that won a gold medal in the 1998 Culinary Super Challenge Cook-off at the Florida Restaurant Show.
0.6796597830231682		SimpleArgument(Her experience,List([0, 14)))	Relation(include,List([15, 22)))	SimpleArgument(Specialty Restaurant Chef for the Renaissance Orlando Resort,List([23, 83)))	Her experience include Specialty Restaurant Chef for the Renaissance Orlando Resort, where she was part of the culinary team that won a gold medal in the 1998 Culinary Super Challenge Cook-off at the Florida Restaurant Show.
0.5691839633287576		SimpleArgument(The Food & Beverage Director/Executive Chef at Shades of Green on WDW Resort,List([0, 3)))	Relation(oversaw,List([4, 11)))	SimpleArgument(re-opening of a 586 room resort with a new 500 seat banquet facility,List([12, 80)))	She oversaw the expansion and re-opening of a 586 room resort with 3 restaurants, room service and a new 500 seat banquet facility.
0.45170382506656653		SimpleArgument(The Food & Beverage Director/Executive Chef at Shades of Green on WDW Resort,List([0, 3)))	Relation(oversaw,List([4, 11)))	SimpleArgument(re-opening of a 586 room resort with room service,List([12, 61)))	She oversaw the expansion and re-opening of a 586 room resort with 3 restaurants, room service and a new 500 seat banquet facility.
0.45170382506656653		SimpleArgument(The Food & Beverage Director/Executive Chef at Shades of Green on WDW Resort,List([0, 3)))	Relation(oversaw,List([4, 11)))	SimpleArgument(re-opening of a 586 room resort with 3 restaurants,List([12, 62)))	She oversaw the expansion and re-opening of a 586 room resort with 3 restaurants, room service and a new 500 seat banquet facility.
0.5691839633287576		SimpleArgument(The Food & Beverage Director/Executive Chef at Shades of Green on WDW Resort,List([0, 3)))	Relation(oversaw,List([4, 11)))	SimpleArgument(the expansion of a 586 room resort with a new 500 seat banquet facility,List([12, 83)))	She oversaw the expansion and re-opening of a 586 room resort with 3 restaurants, room service and a new 500 seat banquet facility.
0.5691839633287576		SimpleArgument(The Food & Beverage Director/Executive Chef at Shades of Green on WDW Resort,List([0, 3)))	Relation(oversaw,List([4, 11)))	SimpleArgument(the expansion of a 586 room resort with room service,List([12, 64)))	She oversaw the expansion and re-opening of a 586 room resort with 3 restaurants, room service and a new 500 seat banquet facility.
0.5691839633287576		SimpleArgument(The Food & Beverage Director/Executive Chef at Shades of Green on WDW Resort,List([0, 3)))	Relation(oversaw,List([4, 11)))	SimpleArgument(the expansion of a 586 room resort with 3 restaurants,List([12, 65)))	She oversaw the expansion and re-opening of a 586 room resort with 3 restaurants, room service and a new 500 seat banquet facility.
0.8638966457783381	Context(established Vital has been successfully catering,List([8, 56)))	SimpleArgument(established Vital,List([8, 25)))	Relation(has been successfully catering to local clientele continuing to,List([26, 56), [57, 59), [60, 65)))	SimpleArgument(create unforgettable events,List([92, 119)))	In 2006 established Vital Flair and has been successfully catering to local clientele, continuing to create unforgettable events.
0.8341686642684243		SimpleArgument(established Vital,List([8, 25)))	Relation(has been successfully catering to local clientele In,List([0, 47), [48, 65), [66, 75)))	TemporalArgument(2006,List([3, 7)))	In 2006 established Vital Flair and has been successfully catering to local clientele, continuing to create unforgettable events.
0.9067325661703171		SimpleArgument(established Vital,List([8, 25)))	Relation(has been successfully catering to,List([26, 56), [57, 59)))	SimpleArgument(local clientele,List([60, 75)))	In 2006 established Vital Flair and has been successfully catering to local clientele, continuing to create unforgettable events.
