0.9197759696552441		SimpleArgument(Sarah,List([0, 5)))	Relation(are cycling,List([6, 17)))	SimpleArgument(75 km,List([18, 23)))	Paul and Sarah are cycling 75 km as part of a charity bike ride organised by Stowmarket Lions Club.
0.620258514064451	Context(they 'll never sell on,List([40, 67)))	SimpleArgument(Your details,List([0, 12)))	Relation(are,List([13, 16)))	SimpleArgument(safe with JustGiving,List([17, 37)))	Your details are safe with JustGiving – they'll never sell them on or send unwanted emails.
0.394022708801387		SimpleArgument(Your details,List([40, 44)))	Relation('ll never sell on,List([45, 59), [65, 67)))	SimpleArgument(Your details,List([60, 64)))	Your details are safe with JustGiving – they'll never sell them on or send unwanted emails.
0.9382554258342916		SimpleArgument(Gift Aid,List([10, 18)))	Relation(is reclaimed on,List([19, 31), [32, 34)))	SimpleArgument(every eligible donation by a UK taxpayer,List([35, 75)))	Once you donate, they'll send your money directly to the charity and make sure Gift Aid is reclaimed on every eligible donation by a UK taxpayer.
0.5605015408062679		SimpleArgument(Your details,List([18, 22)))	Relation('ll send directly to the charity Once,List([0, 26), [27, 31), [43, 58), [59, 66)))	TemporalArgument(you donate,List([5, 15)))	Once you donate, they'll send your money directly to the charity and make sure Gift Aid is reclaimed on every eligible donation by a UK taxpayer.
0.5110386281769846		SimpleArgument(Your details,List([18, 22)))	Relation('ll send directly to,List([23, 31), [43, 51), [52, 54)))	SimpleArgument(the charity,List([55, 66)))	Once you donate, they'll send your money directly to the charity and make sure Gift Aid is reclaimed on every eligible donation by a UK taxpayer.
0.45694023613443424	Context(I raise,List([44, 51)))	SimpleArgument(it,List([3, 5)))	Relation('s,List([6, 8)))	SimpleArgument(the most efficient way to donate,List([9, 41)))	So it's the most efficient way to donate - I raise more, whilst saving time and cutting costs for the charity.
0.18272787056513734		SimpleArgument(I,List({44}))	Relation(raise,List([46, 51)))	SimpleArgument(more,List([52, 56)))	So it's the most efficient way to donate - I raise more, whilst saving time and cutting costs for the charity.
0.9199569125504766		SimpleArgument(christine taylor6 years ago,List([0, 27)))	Relation(done,List([33, 37)))	SimpleArgument(Paul £10.00 + £2.82 Gift Aid,List([38, 66)))	christine taylor6 years ago Well done Sarah and Paul £10.00 + £2.82 Gift Aid
0.547338059826203		SimpleArgument(I,List({47}))	Relation('ll ride £40.00 In,List([24, 51), [52, 56), [67, 73)))	TemporalArgument(50 years time,List([27, 40)))	Andy O'Neill6 years ago In 50 years time, maye I'll ride with you! £40.00
0.4907332801074571		SimpleArgument(I,List({47}))	Relation('ll ride £40.00,List([48, 56), [67, 73)))	TemporalArgument(Andy O'Neill6 years ago,List([0, 23)))	Andy O'Neill6 years ago In 50 years time, maye I'll ride with you! £40.00
0.40710919743170804		SimpleArgument(I,List({47}))	Relation('ll ride,List([48, 56)))	SimpleArgument(£40.00,List([67, 73)))	Andy O'Neill6 years ago In 50 years time, maye I'll ride with you! £40.00
0.30297744566198154		SimpleArgument(I,List({47}))	Relation('ll ride £40.00 with,List([48, 56), [57, 61), [67, 73)))	SimpleArgument(you,List([62, 65)))	Andy O'Neill6 years ago In 50 years time, maye I'll ride with you! £40.00
0.5961061943937731		SimpleArgument(I,List({28}))	Relation(£1.41 Gift Aid,List([30, 35), [36, 44)))	TemporalArgument(Cressida Downing6 years ago,List([0, 27)))	Cressida Downing6 years ago I'm sure the pimms will help... £5.00 + £1.41 Gift Aid
0.4978219019954182		SimpleArgument(I,List({28}))	Relation(£1.41,List([30, 35)))	SimpleArgument(Gift Aid,List([36, 44)))	Cressida Downing6 years ago I'm sure the pimms will help... £5.00 + £1.41 Gift Aid
0.6781199994109101		SimpleArgument(the pimms,List([38, 47)))	Relation(will help,List([48, 57)))	SimpleArgument(£5.00,List([62, 67)))	Cressida Downing6 years ago I'm sure the pimms will help... £5.00 + £1.41 Gift Aid
0.5961061943937731		SimpleArgument(I,List({28}))	Relation('m sure the pimms will help ... £5.00,List([30, 32), [33, 67)))	TemporalArgument(Cressida Downing6 years ago,List([0, 27)))	Cressida Downing6 years ago I'm sure the pimms will help... £5.00 + £1.41 Gift Aid
0.5222094630377523		SimpleArgument(I,List({28}))	Relation('m,List([30, 32)))	SimpleArgument(sure the pimms will help ... £5.00,List([33, 67)))	Cressida Downing6 years ago I'm sure the pimms will help... £5.00 + £1.41 Gift Aid
0.44469037867649003		SimpleArgument(I,List({40}))	Relation(would be riding Good Luck Dad £10.00 + £2.82 Gift Aid,List([42, 57), [69, 106)))	TemporalArgument(50 years ago,List([27, 39)))	Charles O'Neill6 years ago 50 years ago I would be riding with you - Good Luck Dad £10.00 + £2.82 Gift Aid
0.4907332801074571		SimpleArgument(I,List({40}))	Relation(would be riding Good Luck Dad £10.00 + £2.82 Gift Aid,List([42, 57), [69, 106)))	TemporalArgument(Charles O'Neill6 years ago,List([0, 26)))	Charles O'Neill6 years ago 50 years ago I would be riding with you - Good Luck Dad £10.00 + £2.82 Gift Aid
0.45243121649964957		SimpleArgument(I,List({40}))	Relation(would be riding,List([42, 57)))	SimpleArgument(Good Luck Dad £10.00 + £2.82 Gift Aid,List([69, 106)))	Charles O'Neill6 years ago 50 years ago I would be riding with you - Good Luck Dad £10.00 + £2.82 Gift Aid
0.30297744566198154		SimpleArgument(I,List({40}))	Relation(would be riding Good Luck Dad £10.00 + £2.82 Gift Aid with,List([42, 57), [58, 102), [103, 106)))	SimpleArgument(you,List([63, 66)))	Charles O'Neill6 years ago 50 years ago I would be riding with you - Good Luck Dad £10.00 + £2.82 Gift Aid
