0.928319312100383		SimpleArgument(a Human Resource Leader,List([5, 28)))	Relation(partners with,List([33, 41), [42, 46)))	SimpleArgument(business leaders as a trusted advisor,List([47, 84)))	I am a Human Resource Leader who partners with business leaders as a trusted advisor.
0.39129245126286094	Context(A hallmark of my experience has been working,List([0, 44)))	SimpleArgument(A hallmark of my experience,List([0, 27)))	Relation(has been working bringing,List([28, 44), [111, 119)))	SimpleArgument(my ability to integrate talent,List([120, 150)))	A hallmark of my experience has been working within businesses at times of significant organizational change, bringing my ability to integrate processes, talent and cultures.
0.39129245126286094	Context(A hallmark of my experience has been working,List([0, 44)))	SimpleArgument(A hallmark of my experience,List([0, 27)))	Relation(has been working bringing,List([28, 44), [111, 119)))	SimpleArgument(my ability to integrate processes,List([120, 153)))	A hallmark of my experience has been working within businesses at times of significant organizational change, bringing my ability to integrate processes, talent and cultures.
0.5421817811385614		SimpleArgument(A hallmark of my experience,List([0, 27)))	Relation(has been working at,List([28, 44), [63, 65)))	TemporalArgument(times of significant organizational change,List([66, 108)))	A hallmark of my experience has been working within businesses at times of significant organizational change, bringing my ability to integrate processes, talent and cultures.
0.6446185666768985		SimpleArgument(A hallmark of my experience,List([0, 27)))	Relation(has been working within,List([28, 44), [45, 51)))	SpatialArgument(businesses,List([52, 62)))	A hallmark of my experience has been working within businesses at times of significant organizational change, bringing my ability to integrate processes, talent and cultures.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(am recognized for,List([2, 15), [16, 19)))	SimpleArgument(using sound judgment to sort out complicated organizational issues,List([20, 86)))	I am recognized for using sound judgment to sort out complicated organizational issues.
0.8841701665203853		SimpleArgument(practical solutions,List([21, 40)))	Relation(deliver,List([43, 50)))	SimpleArgument(I,List({41}))	Senior leaders value my consultative approach and practical solutions I deliver.
0.8348583869532935		SimpleArgument(Senior leaders,List([0, 14)))	Relation(value,List([15, 20)))	SimpleArgument(practical solutions I deliver,List([21, 50)))	Senior leaders value my consultative approach and practical solutions I deliver.
0.6141574010603599		SimpleArgument(my consultative approach,List([21, 45)))	Relation(deliver,List([48, 55)))	SimpleArgument(I,List({46}))	Senior leaders value my consultative approach and practical solutions I deliver.
0.8348583869532935		SimpleArgument(Senior leaders,List([0, 14)))	Relation(value,List([15, 20)))	SimpleArgument(my consultative approach I deliver,List([21, 55)))	Senior leaders value my consultative approach and practical solutions I deliver.
0.896604430840561		SimpleArgument(diverse executive teams,List([64, 87)))	Relation(utilizing,List([90, 99)))	SimpleArgument(succession planning,List([100, 119)))	My expertise is leading strategic talent initiatives that build high performing and diverse executive teams, enhancing bench strength, increasing leadership competency and utilizing succession planning as a foundation for all talent decisions.
0.9329156546550058		SimpleArgument(strategic talent initiatives,List([24, 52)))	Relation(build,List([58, 63)))	SimpleArgument(diverse executive teams , utilizing succession planning as a foundation for all talent decisions,List([64, 160)))	My expertise is leading strategic talent initiatives that build high performing and diverse executive teams, enhancing bench strength, increasing leadership competency and utilizing succession planning as a foundation for all talent decisions.
0.896604430840561		SimpleArgument(strategic talent initiatives,List([24, 52)))	Relation(build,List([58, 63)))	SimpleArgument(diverse executive teams,List([64, 87)))	My expertise is leading strategic talent initiatives that build high performing and diverse executive teams, enhancing bench strength, increasing leadership competency and utilizing succession planning as a foundation for all talent decisions.
0.39175138885637134		SimpleArgument(My expertise,List([0, 12)))	Relation(is leading,List([13, 23)))	SimpleArgument(strategic talent initiatives that build diverse executive teams ,,List([24, 89)))	My expertise is leading strategic talent initiatives that build high performing and diverse executive teams, enhancing bench strength, increasing leadership competency and utilizing succession planning as a foundation for all talent decisions.
0.8872966301155124		SimpleArgument(high performing,List([64, 79)))	Relation(utilizing,List([82, 91)))	SimpleArgument(succession planning,List([92, 111)))	My expertise is leading strategic talent initiatives that build high performing and diverse executive teams, enhancing bench strength, increasing leadership competency and utilizing succession planning as a foundation for all talent decisions.
0.9329156546550058		SimpleArgument(strategic talent initiatives,List([24, 52)))	Relation(build,List([58, 63)))	SimpleArgument(high performing , utilizing succession planning as a foundation for all talent decisions,List([64, 152)))	My expertise is leading strategic talent initiatives that build high performing and diverse executive teams, enhancing bench strength, increasing leadership competency and utilizing succession planning as a foundation for all talent decisions.
0.896604430840561		SimpleArgument(strategic talent initiatives,List([24, 52)))	Relation(build,List([58, 63)))	SimpleArgument(high performing,List([64, 79)))	My expertise is leading strategic talent initiatives that build high performing and diverse executive teams, enhancing bench strength, increasing leadership competency and utilizing succession planning as a foundation for all talent decisions.
0.39175138885637134		SimpleArgument(My expertise,List([0, 12)))	Relation(is leading,List([13, 23)))	SimpleArgument(strategic talent initiatives that build high performing,List([24, 79)))	My expertise is leading strategic talent initiatives that build high performing and diverse executive teams, enhancing bench strength, increasing leadership competency and utilizing succession planning as a foundation for all talent decisions.
0.8872966301155124		SimpleArgument(high performing,List([64, 79)))	Relation(enhancing,List([82, 91)))	SimpleArgument(bench strength,List([92, 106)))	My expertise is leading strategic talent initiatives that build high performing and diverse executive teams, enhancing bench strength, increasing leadership competency and utilizing succession planning as a foundation for all talent decisions.
0.896604430840561		SimpleArgument(strategic talent initiatives,List([24, 52)))	Relation(build,List([58, 63)))	SimpleArgument(high performing , enhancing bench strength,List([64, 106)))	My expertise is leading strategic talent initiatives that build high performing and diverse executive teams, enhancing bench strength, increasing leadership competency and utilizing succession planning as a foundation for all talent decisions.
0.39175138885637134		SimpleArgument(My expertise,List([0, 12)))	Relation(is leading,List([13, 23)))	SimpleArgument(strategic talent initiatives that build high performing ,,List([24, 81)))	My expertise is leading strategic talent initiatives that build high performing and diverse executive teams, enhancing bench strength, increasing leadership competency and utilizing succession planning as a foundation for all talent decisions.
0.27813615858960106		SimpleArgument(I,List({14}))	Relation(am,List([16, 18)))	SimpleArgument(down to pragmatic,List([19, 36)))	As a leader, I am down to earth and pragmatic.
0.5222094630377523		SimpleArgument(I,List({14}))	Relation(am,List([16, 18)))	SimpleArgument(down to earth,List([19, 32)))	As a leader, I am down to earth and pragmatic.
0.8772656277736296		SimpleArgument(teams,List([50, 55)))	Relation(consistently deliver,List([61, 81)))	SimpleArgument(results,List([82, 89)))	I leverage my strength in identifying, acquiring and developing talent, to create teams that consistently deliver results.
0.20279309649292268		SimpleArgument(I,List({0}))	Relation(to create,List([40, 49)))	SimpleArgument(teams that consistently deliver results,List([50, 89)))	I leverage my strength in identifying, acquiring and developing talent, to create teams that consistently deliver results.
0.9372494423173455		SimpleArgument(unassuming approach,List([0, 19)))	Relation(engages,List([20, 27)))	SimpleArgument(key stakeholders from front - line employees to C - Suite executives,List([28, 96)))	My calm and unassuming approach quickly establishes trust and engages key stakeholders from front-line employees to C-Suite executives.
0.7569585246614505		SimpleArgument(My calm approach,List([0, 16)))	Relation(engages,List([17, 24)))	SimpleArgument(key stakeholders from front - line employees to C - Suite executives,List([25, 93)))	My calm and unassuming approach quickly establishes trust and engages key stakeholders from front-line employees to C-Suite executives.
0.9030401971054747		SimpleArgument(unassuming approach,List([0, 19)))	Relation(quickly establishes,List([20, 39)))	SimpleArgument(trust,List([40, 45)))	My calm and unassuming approach quickly establishes trust and engages key stakeholders from front-line employees to C-Suite executives.
0.6601056213946704		SimpleArgument(My calm approach,List([0, 16)))	Relation(quickly establishes,List([17, 36)))	SimpleArgument(trust,List([37, 42)))	My calm and unassuming approach quickly establishes trust and engages key stakeholders from front-line employees to C-Suite executives.
0.39625576749130315		SimpleArgument(I,List({17}))	Relation(will contribute as a member of a senior leadership team In,List([0, 23), [24, 69), [70, 74)))	SpatialArgument(my next role,List([3, 15)))	In my next role, I will contribute as a member of a senior leadership team, leveraging my expertise to increase organizational capabilities by aligning human resource strategies with business goals.
0.45170382506656653		SimpleArgument(I,List({17}))	Relation(will contribute as,List([19, 34), [35, 37)))	SimpleArgument(a member of a senior leadership team,List([38, 74)))	In my next role, I will contribute as a member of a senior leadership team, leveraging my expertise to increase organizational capabilities by aligning human resource strategies with business goals.
0.9907514569646729		SimpleArgument(LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Wholesale / Retail Grocery industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Retail Groceries,List([0, 230)))	Relation(support,List([231, 238)))	SimpleArgument(►Experience,List([239, 250)))	LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Technology, Insurance and Wholesale/Retail Grocery industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Manufacturing, Development Labs, Supply Chain, Logistics, Finance, IT, Retail and Market Development, Wholesale and Retail Groceries, Insurance, and Investment Management support ►Experience with client populations between 500 - 3,000 employees
0.9907514569646729		SimpleArgument(LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Wholesale / Retail Grocery industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Development Labs,List([0, 230)))	Relation(support,List([231, 238)))	SimpleArgument(►Experience,List([239, 250)))	LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Technology, Insurance and Wholesale/Retail Grocery industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Manufacturing, Development Labs, Supply Chain, Logistics, Finance, IT, Retail and Market Development, Wholesale and Retail Groceries, Insurance, and Investment Management support ►Experience with client populations between 500 - 3,000 employees
0.9876795735336388		SimpleArgument(LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Insurance industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Retail Groceries,List([0, 213)))	Relation(support,List([214, 221)))	SimpleArgument(►Experience,List([222, 233)))	LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Technology, Insurance and Wholesale/Retail Grocery industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Manufacturing, Development Labs, Supply Chain, Logistics, Finance, IT, Retail and Market Development, Wholesale and Retail Groceries, Insurance, and Investment Management support ►Experience with client populations between 500 - 3,000 employees
0.9990000128746033		SimpleArgument(LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Insurance industries,List([0, 0)))	Relation(support,List([0, 0)))	SimpleArgument(500 - 3000 employees,List(null))	LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Technology, Insurance and Wholesale/Retail Grocery industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Manufacturing, Development Labs, Supply Chain, Logistics, Finance, IT, Retail and Market Development, Wholesale and Retail Groceries, Insurance, and Investment Management support ►Experience with client populations between 500 - 3,000 employees
0.9876795735336388		SimpleArgument(LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Insurance industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Development Labs,List([0, 213)))	Relation(support,List([214, 221)))	SimpleArgument(►Experience,List([222, 233)))	LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Technology, Insurance and Wholesale/Retail Grocery industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Manufacturing, Development Labs, Supply Chain, Logistics, Finance, IT, Retail and Market Development, Wholesale and Retail Groceries, Insurance, and Investment Management support ►Experience with client populations between 500 - 3,000 employees
0.9876795735336388		SimpleArgument(LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Technology industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Retail Groceries,List([0, 214)))	Relation(support,List([215, 222)))	SimpleArgument(►Experience,List([223, 234)))	LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Technology, Insurance and Wholesale/Retail Grocery industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Manufacturing, Development Labs, Supply Chain, Logistics, Finance, IT, Retail and Market Development, Wholesale and Retail Groceries, Insurance, and Investment Management support ►Experience with client populations between 500 - 3,000 employees
0.9990000128746033		SimpleArgument(LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Technology industries,List([0, 0)))	Relation(support,List([0, 0)))	SimpleArgument(500 - 3000 employees,List(null))	LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Technology, Insurance and Wholesale/Retail Grocery industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Manufacturing, Development Labs, Supply Chain, Logistics, Finance, IT, Retail and Market Development, Wholesale and Retail Groceries, Insurance, and Investment Management support ►Experience with client populations between 500 - 3,000 employees
0.9876795735336388		SimpleArgument(LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Technology industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Development Labs,List([0, 214)))	Relation(support,List([215, 222)))	SimpleArgument(►Experience,List([223, 234)))	LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Technology, Insurance and Wholesale/Retail Grocery industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Manufacturing, Development Labs, Supply Chain, Logistics, Finance, IT, Retail and Market Development, Wholesale and Retail Groceries, Insurance, and Investment Management support ►Experience with client populations between 500 - 3,000 employees
0.38089450366724514		SimpleArgument(►HR experience,List([180, 194)))	Relation([is] Director [of],List([171, 179)))	SimpleArgument(HR,List([168, 170)))	LEADERSHIP PROFILE ►Proven Human Resource leadership experience across Technology, Insurance and Wholesale/Retail Grocery industries ►Extensive experience as senior executive advisor as HR Vice President and HR Director ►HR experience in Manufacturing, Development Labs, Supply Chain, Logistics, Finance, IT, Retail and Market Development, Wholesale and Retail Groceries, Insurance, and Investment Management support ►Experience with client populations between 500 - 3,000 employees
