0.4667063855863067		SimpleArgument(I,List({49}))	Relation(knew,List([51, 55)))	SimpleArgument(what graphic design was,List([56, 79)))	I've been practicing graphic design since before I knew what graphic design was.
0.45170382506656653		SimpleArgument(I,List({17}))	Relation(started,List([19, 26)))	SimpleArgument(university,List([27, 37)))	It wasn't until I started university that I noticed the work posted in the Design department on my way to class, and eventually realized that there was actually a name for all that stuff I liked to do.
0.22506131975927415		SimpleArgument(I,List({29}))	Relation(could pursue a career,List([31, 43), [44, 52)))	SimpleArgument(in,List([53, 55)))	And that it was a craft that I could actually study, and pursue a career in.
0.45170382506656653		SimpleArgument(I,List({29}))	Relation(could pursue,List([31, 43)))	SimpleArgument(a career,List([44, 52)))	And that it was a craft that I could actually study, and pursue a career in.
0.17811017250728142		SimpleArgument(it,List([9, 11)))	Relation(was,List([12, 15)))	SimpleArgument(a craft that I could pursue a career in,List([16, 55)))	And that it was a craft that I could actually study, and pursue a career in.
0.8841701665203853		SimpleArgument(a craft,List([16, 23)))	Relation(could actually study,List([31, 51)))	SimpleArgument(I,List({29}))	And that it was a craft that I could actually study, and pursue a career in.
0.17811017250728142		SimpleArgument(it,List([9, 11)))	Relation(was,List([12, 15)))	SimpleArgument(a craft that I could actually study,List([16, 51)))	And that it was a craft that I could actually study, and pursue a career in.
0.9111779447320654		SimpleArgument(a freelance practice,List([32, 52)))	Relation(working for,List([53, 60), [61, 64)))	SimpleArgument(clients in the cultural sectors,List([65, 96)))	Over the next few years I studied at Grant Macewan, NSCAD University, and The Cooper Union, and began a freelance practice working for clients in the music and cultural sectors.
0.547338059826203		SimpleArgument(I,List({24}))	Relation(began a freelance practice working for clients in the cultural sectors Over,List([0, 4), [26, 88), [89, 96)))	TemporalArgument(the next few years,List([5, 23)))	Over the next few years I studied at Grant Macewan, NSCAD University, and The Cooper Union, and began a freelance practice working for clients in the music and cultural sectors.
0.5691839633287576		SimpleArgument(I,List({24}))	Relation(began,List([26, 31)))	SimpleArgument(a freelance practice working for clients in the cultural sectors,List([32, 96)))	Over the next few years I studied at Grant Macewan, NSCAD University, and The Cooper Union, and began a freelance practice working for clients in the music and cultural sectors.
0.9111779447320654		SimpleArgument(a freelance practice,List([32, 52)))	Relation(working for,List([53, 60), [61, 64)))	SimpleArgument(clients in the music,List([65, 85)))	Over the next few years I studied at Grant Macewan, NSCAD University, and The Cooper Union, and began a freelance practice working for clients in the music and cultural sectors.
0.547338059826203		SimpleArgument(I,List({24}))	Relation(began a freelance practice working for clients in the music Over,List([0, 4), [26, 79), [80, 85)))	TemporalArgument(the next few years,List([5, 23)))	Over the next few years I studied at Grant Macewan, NSCAD University, and The Cooper Union, and began a freelance practice working for clients in the music and cultural sectors.
0.45170382506656653		SimpleArgument(I,List({24}))	Relation(began,List([26, 31)))	SimpleArgument(a freelance practice working for clients in the music,List([32, 85)))	Over the next few years I studied at Grant Macewan, NSCAD University, and The Cooper Union, and began a freelance practice working for clients in the music and cultural sectors.
0.4978219019954182		SimpleArgument(I,List({24}))	Relation(studied at,List([26, 33), [34, 36)))	SpatialArgument(The Cooper Union,List([37, 53)))	Over the next few years I studied at Grant Macewan, NSCAD University, and The Cooper Union, and began a freelance practice working for clients in the music and cultural sectors.
0.4978219019954182		SimpleArgument(I,List({24}))	Relation(studied at,List([26, 33), [34, 36)))	SpatialArgument(NSCAD University,List([37, 53)))	Over the next few years I studied at Grant Macewan, NSCAD University, and The Cooper Union, and began a freelance practice working for clients in the music and cultural sectors.
0.547338059826203		SimpleArgument(I,List({24}))	Relation(studied Over,List([0, 4), [26, 33)))	TemporalArgument(the next few years,List([5, 23)))	Over the next few years I studied at Grant Macewan, NSCAD University, and The Cooper Union, and began a freelance practice working for clients in the music and cultural sectors.
0.4978219019954182		SimpleArgument(I,List({24}))	Relation(studied at,List([26, 33), [34, 36)))	SpatialArgument(Grant Macewan,List([37, 50)))	Over the next few years I studied at Grant Macewan, NSCAD University, and The Cooper Union, and began a freelance practice working for clients in the music and cultural sectors.
0.1886694268496255		SimpleArgument(I,List({5}))	Relation(started,List([7, 14)))	SimpleArgument(working professionally,List([15, 37)))	Once I completed my BDes I moved to Toronto and started working professionally.
0.44126879054002194		SimpleArgument(I,List({25}))	Relation(moved to Toronto Once,List([0, 4), [27, 35), [36, 43)))	TemporalArgument(I completed my BDes,List([5, 24)))	Once I completed my BDes I moved to Toronto and started working professionally.
0.4978219019954182		SimpleArgument(I,List({25}))	Relation(moved to,List([27, 32), [33, 35)))	SimpleArgument(Toronto,List([36, 43)))	Once I completed my BDes I moved to Toronto and started working professionally.
0.3498441627223176		SimpleArgument(I,List({5}))	Relation(completed,List([7, 16)))	SimpleArgument(my BDes,List([17, 24)))	Once I completed my BDes I moved to Toronto and started working professionally.
0.6796597830231682		SimpleArgument(my work,List([11, 18)))	Relation(has been recognized by,List([19, 38), [39, 41)))	SimpleArgument(Communication Arts,List([42, 60)))	Since then my work has been recognized by Applied Arts, the ADCC, the FPO Awards, Design Edge, Marketing Magazine, and Communication Arts.
0.6796597830231682		SimpleArgument(my work,List([11, 18)))	Relation(has been recognized by,List([19, 38), [39, 41)))	SimpleArgument(Marketing Magazine,List([42, 60)))	Since then my work has been recognized by Applied Arts, the ADCC, the FPO Awards, Design Edge, Marketing Magazine, and Communication Arts.
0.6796597830231682		SimpleArgument(my work,List([11, 18)))	Relation(has been recognized by,List([19, 38), [39, 41)))	SimpleArgument(Design Edge,List([42, 53)))	Since then my work has been recognized by Applied Arts, the ADCC, the FPO Awards, Design Edge, Marketing Magazine, and Communication Arts.
0.6796597830231682		SimpleArgument(my work,List([11, 18)))	Relation(has been recognized by,List([19, 38), [39, 41)))	SimpleArgument(the FPO Awards,List([42, 56)))	Since then my work has been recognized by Applied Arts, the ADCC, the FPO Awards, Design Edge, Marketing Magazine, and Communication Arts.
0.6796597830231682		SimpleArgument(my work,List([11, 18)))	Relation(has been recognized by,List([19, 38), [39, 41)))	SimpleArgument(the ADCC,List([42, 50)))	Since then my work has been recognized by Applied Arts, the ADCC, the FPO Awards, Design Edge, Marketing Magazine, and Communication Arts.
0.4770711278220272		SimpleArgument(my work,List([11, 18)))	Relation(has been recognized Since,List([0, 27), [28, 38)))	TemporalArgument(then,List([6, 10)))	Since then my work has been recognized by Applied Arts, the ADCC, the FPO Awards, Design Edge, Marketing Magazine, and Communication Arts.
0.6796597830231682		SimpleArgument(my work,List([11, 18)))	Relation(has been recognized by,List([19, 38), [39, 41)))	SimpleArgument(Applied Arts,List([42, 54)))	Since then my work has been recognized by Applied Arts, the ADCC, the FPO Awards, Design Edge, Marketing Magazine, and Communication Arts.
0.45170382506656653		SimpleArgument(I,List({32}))	Relation('m also,List([34, 41)))	SimpleArgument(a bass guitarist,List([42, 58)))	In addition to being a designer I'm also a husband, father, and bass guitarist.
0.45170382506656653		SimpleArgument(I,List({32}))	Relation('m also,List([34, 41)))	SimpleArgument(a father,List([42, 50)))	In addition to being a designer I'm also a husband, father, and bass guitarist.
0.45170382506656653		SimpleArgument(I,List({32}))	Relation('m also,List([34, 41)))	SimpleArgument(a husband,List([42, 51)))	In addition to being a designer I'm also a husband, father, and bass guitarist.
0.41051436014453063		SimpleArgument(I,List({0}))	Relation(to cook hundreds of tacos from,List([12, 19), [20, 37), [38, 42)))	SimpleArgument(time to time,List([43, 55)))	I also used to cook hundreds of tacos from time to time.
0.41051436014453063		SimpleArgument(I,List({0}))	Relation(to cook,List([12, 19)))	SimpleArgument(hundreds of tacos,List([20, 37)))	I also used to cook hundreds of tacos from time to time.
