0.4649296389869295		SimpleArgument(you,List([6, 9)))	Relation(for visiting,List([10, 22)))	SimpleArgument(my site,List([23, 30)))	Thank you for visiting my site.
0.3880890333449538	Context(I enjoy,List([18, 25)))	SimpleArgument(I,List({18}))	Relation(enjoy relaxing,List([20, 25), [26, 34)))	SimpleArgument(activities such as camping,List([35, 61)))	In my free time, I enjoy relaxing activities such as picnics, camping, treasure hunts and walks with our two dogs.
0.3356692398220114		SimpleArgument(I,List({18}))	Relation(enjoy relaxing activities such as camping In,List([0, 2), [20, 53), [54, 61)))	TemporalArgument(my free time,List([3, 15)))	In my free time, I enjoy relaxing activities such as picnics, camping, treasure hunts and walks with our two dogs.
0.3880890333449538		SimpleArgument(I,List({18}))	Relation(enjoy,List([20, 25)))	SimpleArgument(relaxing activities such as camping,List([26, 61)))	In my free time, I enjoy relaxing activities such as picnics, camping, treasure hunts and walks with our two dogs.
0.3880890333449538	Context(I enjoy,List([18, 25)))	SimpleArgument(I,List({18}))	Relation(enjoy relaxing,List([20, 25), [26, 34)))	SimpleArgument(activities such as picnics,List([35, 61)))	In my free time, I enjoy relaxing activities such as picnics, camping, treasure hunts and walks with our two dogs.
0.3356692398220114		SimpleArgument(I,List({18}))	Relation(enjoy relaxing activities such as picnics In,List([0, 2), [20, 53), [54, 61)))	TemporalArgument(my free time,List([3, 15)))	In my free time, I enjoy relaxing activities such as picnics, camping, treasure hunts and walks with our two dogs.
0.3880890333449538		SimpleArgument(I,List({18}))	Relation(enjoy,List([20, 25)))	SimpleArgument(relaxing activities such as picnics,List([26, 61)))	In my free time, I enjoy relaxing activities such as picnics, camping, treasure hunts and walks with our two dogs.
0.31693683731371314		SimpleArgument(so much,List([49, 56)))	Relation(to see,List([57, 63)))	SpatialArgument(out there,List([64, 73)))	I love planning trips and travelling to other countries as there is so much to see out there!
0.13617576947448337		SimpleArgument(I,List({0}))	Relation(love travelling to other countries as,List([2, 17), [18, 36), [37, 39)))	TemporalArgument(there is so much,List([40, 56)))	I love planning trips and travelling to other countries as there is so much to see out there!
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(love travelling to,List([2, 17), [18, 20)))	SimpleArgument(other countries,List([21, 36)))	I love planning trips and travelling to other countries as there is so much to see out there!
0.39746064682094406	Context(I love,List([0, 6)))	SimpleArgument(I,List({0}))	Relation(love planning,List([2, 6), [7, 15)))	SimpleArgument(trips,List([16, 21)))	I love planning trips and travelling to other countries as there is so much to see out there!
0.39746064682094406		SimpleArgument(I,List({0}))	Relation(love,List([2, 6)))	SimpleArgument(planning trips,List([7, 21)))	I love planning trips and travelling to other countries as there is so much to see out there!
0.9379636683194408		SimpleArgument(a 3-month work experience in San Francisco,List([39, 81)))	Relation(was,List([95, 98)))	SimpleArgument(beneficial to my personal development,List([99, 136)))	In 2004, I embraced the opportunity of a 3-month work experience in San Francisco (USA), which was beneficial to my personal development.
0.29886655727758943		SimpleArgument(I,List({9}))	Relation(embraced the opportunity of a 3 - month work experience in San Francisco In,List([0, 2), [11, 71), [72, 81)))	TemporalArgument(2004,List([3, 7)))	In 2004, I embraced the opportunity of a 3-month work experience in San Francisco (USA), which was beneficial to my personal development.
0.6138676038426771		SimpleArgument(I,List({9}))	Relation(embraced,List([11, 19)))	SimpleArgument(the opportunity of a 3-month work experience in San Francisco,List([20, 81)))	In 2004, I embraced the opportunity of a 3-month work experience in San Francisco (USA), which was beneficial to my personal development.
0.45170382506656653		SimpleArgument(Malta,List([40, 42)))	Relation(offers,List([43, 49)))	SimpleArgument(a multitude of sight - seeing experiences,List([50, 91)))	Malta's rich historical heritage covers 7000 years of cultural importance and despite it being such a small country; it offers a multitude of sight-seeing experiences.
0.45170382506656653		SimpleArgument(Malta,List([8, 10)))	Relation(being,List([11, 16)))	SimpleArgument(such a small country,List([17, 37)))	Malta's rich historical heritage covers 7000 years of cultural importance and despite it being such a small country; it offers a multitude of sight-seeing experiences.
0.9990000128746033		SimpleArgument(Malta 's rich historical heritage,List([0, 0)))	Relation(covers,List([0, 0)))	SimpleArgument(7000 years,List(null))	Malta's rich historical heritage covers 7000 years of cultural importance and despite it being such a small country; it offers a multitude of sight-seeing experiences.
0.944056173886228		SimpleArgument(Malta 's rich historical heritage,List([0, 33)))	Relation(covers,List([34, 40)))	SimpleArgument(7000 years of cultural importance,List([41, 74)))	Malta's rich historical heritage covers 7000 years of cultural importance and despite it being such a small country; it offers a multitude of sight-seeing experiences.
0.8477538091726738		SimpleArgument(the perfect tour,List([135, 151)))	Relation(to suit,List([152, 159)))	SimpleArgument(your needs,List([160, 170)))	That is why I strongly suggest you go together with a licensed tourist guide who will help you to get the most from the time you have, understanding your interests and designing the perfect tour to suit your needs.
0.6652560096730836		SimpleArgument(the most,List([102, 110)))	Relation(designing the perfect tour,List([125, 134), [135, 151)))	TemporalArgument(the time,List([116, 124)))	That is why I strongly suggest you go together with a licensed tourist guide who will help you to get the most from the time you have, understanding your interests and designing the perfect tour to suit your needs.
0.37652479282515255		SimpleArgument(the most,List([102, 110)))	Relation(designing the perfect tour to,List([125, 134), [135, 151), [152, 154)))	SimpleArgument(suit your needs,List([155, 170)))	That is why I strongly suggest you go together with a licensed tourist guide who will help you to get the most from the time you have, understanding your interests and designing the perfect tour to suit your needs.
0.5266464120963107		SimpleArgument(the most,List([102, 110)))	Relation(designing,List([125, 134)))	SimpleArgument(the perfect tour,List([135, 151)))	That is why I strongly suggest you go together with a licensed tourist guide who will help you to get the most from the time you have, understanding your interests and designing the perfect tour to suit your needs.
0.2560951955542683	Context(That is,List([0, 7)))	SimpleArgument(I,List({12}))	Relation(strongly suggest,List([14, 30)))	SimpleArgument(you go together with a licensed tourist guide,List([31, 76)))	That is why I strongly suggest you go together with a licensed tourist guide who will help you to get the most from the time you have, understanding your interests and designing the perfect tour to suit your needs.
0.3534834345875752		SimpleArgument(That,List([0, 4)))	Relation(is,List([5, 7)))	SimpleArgument(why I strongly suggest you go together with a licensed tourist guide,List([8, 76)))	That is why I strongly suggest you go together with a licensed tourist guide who will help you to get the most from the time you have, understanding your interests and designing the perfect tour to suit your needs.
0.6155020116081594		SimpleArgument(you,List([91, 94)))	Relation(to get the most from,List([95, 101), [102, 110), [111, 115)))	SimpleArgument(the time,List([116, 124)))	That is why I strongly suggest you go together with a licensed tourist guide who will help you to get the most from the time you have, understanding your interests and designing the perfect tour to suit your needs.
0.3607472239201407		SimpleArgument(you,List([91, 94)))	Relation(to get,List([95, 101)))	SimpleArgument(the most,List([102, 110)))	That is why I strongly suggest you go together with a licensed tourist guide who will help you to get the most from the time you have, understanding your interests and designing the perfect tour to suit your needs.
0.9052256377408016		SimpleArgument(a licensed tourist guide,List([52, 76)))	Relation(will help you to,List([81, 90), [91, 94), [95, 97)))	SimpleArgument(get the most from the time,List([98, 124)))	That is why I strongly suggest you go together with a licensed tourist guide who will help you to get the most from the time you have, understanding your interests and designing the perfect tour to suit your needs.
0.8383054502364456		SimpleArgument(a licensed tourist guide,List([52, 76)))	Relation(will help,List([81, 90)))	SimpleArgument(you,List([91, 94)))	That is why I strongly suggest you go together with a licensed tourist guide who will help you to get the most from the time you have, understanding your interests and designing the perfect tour to suit your needs.
0.8841701665203853		SimpleArgument(the time,List([116, 124)))	Relation(have,List([129, 133)))	SimpleArgument(you,List([125, 128)))	That is why I strongly suggest you go together with a licensed tourist guide who will help you to get the most from the time you have, understanding your interests and designing the perfect tour to suit your needs.
0.4328394458044063	Context(I 'm looking forward,List([0, 19)))	SimpleArgument(I,List({0}))	Relation('m looking forward to meeting you in,List([1, 19), [20, 30), [31, 34), [35, 37)))	SpatialArgument(Malta,List([38, 43)))	I'm looking forward to meeting you in Malta!
0.2560951955542683	Context(I 'm looking forward,List([0, 19)))	SimpleArgument(I,List({0}))	Relation('m looking forward to meeting,List([1, 19), [20, 30)))	SimpleArgument(you,List([31, 34)))	I'm looking forward to meeting you in Malta!
0.2929110702089528		SimpleArgument(I,List({0}))	Relation('m looking forward to,List([1, 19), [20, 22)))	SimpleArgument(meeting you in Malta,List([23, 43)))	I'm looking forward to meeting you in Malta!
0.3607472239201407		SimpleArgument(you,List([18, 21)))	Relation(may contact me at,List([22, 33), [34, 36), [37, 39)))	SpatialArgument(info@YourMaltaGuide.com.,List([40, 64)))	For any queries or further information, you may contact me at info@YourMaltaGuide.com.
0.4649296389869295		SimpleArgument(you,List([18, 21)))	Relation(may contact,List([22, 33)))	SimpleArgument(me,List([34, 36)))	For any queries or further information, you may contact me at info@YourMaltaGuide.com.
0.38089450366724514		SimpleArgument(MTA Licence,List([28, 39)))	Relation([is] Guide [from],List([22, 27)))	SimpleArgument(Malta,List([16, 21)))	Charmaine  Your Malta Guide MTA Licence.
