0.8306090960787457		SimpleArgument(Residential Home Mortgages,List([0, 26)))	Relation(Established in,List([27, 38), [39, 41)))	TemporalArgument(2004,List([42, 46)))	Residential Home Mortgages Established in 2004.
0.8876082651439079	Context(he quickly found,List([56, 72)))	SimpleArgument(The initial plan,List([0, 16)))	Relation(was to,List([17, 20), [21, 23)))	SimpleArgument(be a part time resident,List([24, 47)))	The initial plan was to be a part time resident however he quickly found himself not wanting to return to the 'big city'.
0.3557055808979406		SimpleArgument(John Evans,List([56, 58)))	Relation(quickly found,List([59, 72)))	SimpleArgument(himself not wanting to return to the 'big city,List([73, 119)))	The initial plan was to be a part time resident however he quickly found himself not wanting to return to the 'big city'.
0.5750411108691293		SimpleArgument(John Evans,List([73, 80)))	Relation(to return to,List([93, 102), [103, 105)))	SimpleArgument(the 'big city,List([106, 119)))	The initial plan was to be a part time resident however he quickly found himself not wanting to return to the 'big city'.
0.896604430840561		SimpleArgument(The initial plan,List([0, 16)))	Relation(to be,List([21, 26)))	SimpleArgument(a part time resident,List([27, 47)))	The initial plan was to be a part time resident however he quickly found himself not wanting to return to the 'big city'.
0.9030401971054747		SimpleArgument(the flexibility,List([113, 128)))	Relation(to work from,List([129, 136), [137, 141)))	SimpleArgument(home,List([142, 146)))	He was fortunate that his career at this time as a Territory Manager for various insurance companies allowed him the flexibility to move full time to Palm Springs and work from home.
0.8522578416789942		SimpleArgument(his career at this time as a Territory Manager for various insurance companies,List([22, 100)))	Relation(allowed,List([101, 108)))	SimpleArgument(the flexibility to work from home,List([113, 146)))	He was fortunate that his career at this time as a Territory Manager for various insurance companies allowed him the flexibility to move full time to Palm Springs and work from home.
0.29487653219956067		SimpleArgument(John Evans,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(fortunate that his career at this time as a Territory Manager for various insurance companies allowed him the flexibility,List([7, 128)))	He was fortunate that his career at this time as a Territory Manager for various insurance companies allowed him the flexibility to move full time to Palm Springs and work from home.
0.8542014150969519	Context(his career at this time as a Territory Manager for various insurance companies allowed,List([22, 108)))	SimpleArgument(the flexibility,List([113, 128)))	Relation(to move to,List([129, 136), [147, 149)))	SimpleArgument(Palm Springs,List([150, 162)))	He was fortunate that his career at this time as a Territory Manager for various insurance companies allowed him the flexibility to move full time to Palm Springs and work from home.
0.8787710769554046	Context(his career at this time as a Territory Manager for various insurance companies allowed,List([22, 108)))	SimpleArgument(the flexibility,List([113, 128)))	Relation(to move to Palm Springs,List([129, 136), [147, 162)))	TemporalArgument(full time,List([137, 146)))	He was fortunate that his career at this time as a Territory Manager for various insurance companies allowed him the flexibility to move full time to Palm Springs and work from home.
0.8475132572740665		SimpleArgument(his career at this time as a Territory Manager for various insurance companies,List([22, 100)))	Relation(allowed,List([101, 108)))	SimpleArgument(the flexibility to move full time to Palm Springs,List([113, 162)))	He was fortunate that his career at this time as a Territory Manager for various insurance companies allowed him the flexibility to move full time to Palm Springs and work from home.
0.29487653219956067		SimpleArgument(John Evans,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(fortunate that his career at this time as a Territory Manager for various insurance companies allowed him the flexibility to move full time to Palm Springs,List([7, 162)))	He was fortunate that his career at this time as a Territory Manager for various insurance companies allowed him the flexibility to move full time to Palm Springs and work from home.
0.7532657647087118		SimpleArgument(John,List([8, 12)))	Relation(joined the mortgage lending industry In,List([0, 2), [13, 40), [41, 49)))	TemporalArgument(2002,List([3, 7)))	In 2002 John joined the mortgage lending industry with intentions of working part time in the industry as a 'working hobby'.
0.904419968271469		SimpleArgument(John,List([8, 12)))	Relation(joined the mortgage lending industry with,List([13, 19), [20, 49), [50, 54)))	SimpleArgument(intentions of working part time in the industry as a 'working hobby,List([55, 122)))	In 2002 John joined the mortgage lending industry with intentions of working part time in the industry as a 'working hobby'.
0.8550806581371961		SimpleArgument(John,List([8, 12)))	Relation(joined,List([13, 19)))	SimpleArgument(the mortgage lending industry,List([20, 49)))	In 2002 John joined the mortgage lending industry with intentions of working part time in the industry as a 'working hobby'.
0.4820971422465561		SimpleArgument(John Evans,List([115, 117)))	Relation(opened Contempo Lending after,List([72, 77), [118, 133), [134, 141)))	TemporalArgument(2 years of working for other brokers,List([78, 114)))	Always being detailed oriented and having a passion for real estate he quickly thrived in the industry and after 2 years of working for other brokers he opened Contempo Lending in December, 2004.
0.4328394458044063		SimpleArgument(John Evans,List([115, 117)))	Relation(opened Contempo Lending in,List([118, 124), [125, 141), [142, 144)))	TemporalArgument(December , 2004,List([145, 160)))	Always being detailed oriented and having a passion for real estate he quickly thrived in the industry and after 2 years of working for other brokers he opened Contempo Lending in December, 2004.
0.4328394458044063		SimpleArgument(John Evans,List([115, 117)))	Relation(opened,List([118, 124)))	SimpleArgument(Contempo Lending,List([125, 141)))	Always being detailed oriented and having a passion for real estate he quickly thrived in the industry and after 2 years of working for other brokers he opened Contempo Lending in December, 2004.
0.913197594301744		SimpleArgument(a passion for real estate,List([7, 32)))	Relation(quickly thrived in,List([36, 51), [52, 54)))	SpatialArgument(the mortgage lending industry,List([55, 67)))	Always being detailed oriented and having a passion for real estate he quickly thrived in the industry and after 2 years of working for other brokers he opened Contempo Lending in December, 2004.
0.8408811590158596		SimpleArgument(The industry in 2006,List([0, 20)))	Relation(was,List([21, 24)))	SimpleArgument(thr,List([25, 28)))	The industry in 2005 and 2006 was thr
0.8408811590158596		SimpleArgument(The industry in 2005,List([0, 20)))	Relation(was,List([21, 24)))	SimpleArgument(thr,List([25, 28)))	The industry in 2005 and 2006 was thr
