0.8713075742434684	Context(Zilker Media to help,List([0, 32)))	SimpleArgument(clients,List([33, 40)))	Relation(make,List([41, 45)))	SimpleArgument(a positive impact,List([46, 63)))	Zilker Media was founded to help clients make a positive impact and, along the way, to provide them with the most enjoyable agency experience they will ever have.
0.9251282565798027		SimpleArgument(The agency,List([0, 10)))	Relation(led,List([11, 14)))	SimpleArgument(digital strategy,List([15, 31)))	The agency represented some of the world's most well know authorities and brands, managed the launches of more than 30 New York Times and Wall Street Journal bestsellers, was named one of the top 10 marketing agencies in the country in 2015 and 2016 by research firm Clutch and led digital strategy for some of the biggest bestsellers of the past few years, including The One Thing, by Gary Keller and Jay Papasan, The Confidence Code, by Claire Shipman and Katty Kay, Big Data, by Kenneth Cukier and Viktor Mayer-Schonberger, One Thousand Gifts, by Ann Voskamp, Take the Stairs, by Rory Vaden, How The World Sees You, by Sally Hogshead, Eat Move Sleep, by Tom Rath, Winning From Within, by Erica Ariel Fox and many, many others.
0.8904851936824772		SimpleArgument(The agency,List([0, 10)))	Relation(represented,List([11, 22)))	SimpleArgument(One Thousand Gifts , by Ann Voskamp , Take the Stairs , by Rory Vaden , How The World Sees You , by Sally Hogshead , Eat Move Sleep , by Tom Rath , Winning From Within , by many , many others,List([40, 231)))	The agency represented some of the world's most well know authorities and brands, managed the launches of more than 30 New York Times and Wall Street Journal bestsellers, was named one of the top 10 marketing agencies in the country in 2015 and 2016 by research firm Clutch and led digital strategy for some of the biggest bestsellers of the past few years, including The One Thing, by Gary Keller and Jay Papasan, The Confidence Code, by Claire Shipman and Katty Kay, Big Data, by Kenneth Cukier and Viktor Mayer-Schonberger, One Thousand Gifts, by Ann Voskamp, Take the Stairs, by Rory Vaden, How The World Sees You, by Sally Hogshead, Eat Move Sleep, by Tom Rath, Winning From Within, by Erica Ariel Fox and many, many others.
0.8904851936824772		SimpleArgument(The agency,List([0, 10)))	Relation(represented,List([11, 22)))	SimpleArgument(One Thousand Gifts , by Ann Voskamp , Take the Stairs , by Rory Vaden , How The World Sees You , by Sally Hogshead , Eat Move Sleep , by Tom Rath,List([40, 185)))	The agency represented some of the world's most well know authorities and brands, managed the launches of more than 30 New York Times and Wall Street Journal bestsellers, was named one of the top 10 marketing agencies in the country in 2015 and 2016 by research firm Clutch and led digital strategy for some of the biggest bestsellers of the past few years, including The One Thing, by Gary Keller and Jay Papasan, The Confidence Code, by Claire Shipman and Katty Kay, Big Data, by Kenneth Cukier and Viktor Mayer-Schonberger, One Thousand Gifts, by Ann Voskamp, Take the Stairs, by Rory Vaden, How The World Sees You, by Sally Hogshead, Eat Move Sleep, by Tom Rath, Winning From Within, by Erica Ariel Fox and many, many others.
0.9434202455866185	Context(The agency represented,List([0, 22)))	SimpleArgument(One Thousand Gifts , by Ann Voskamp,List([73, 108)))	Relation(Take,List([111, 115)))	SimpleArgument(the Stairs,List([116, 126)))	The agency represented some of the world's most well know authorities and brands, managed the launches of more than 30 New York Times and Wall Street Journal bestsellers, was named one of the top 10 marketing agencies in the country in 2015 and 2016 by research firm Clutch and led digital strategy for some of the biggest bestsellers of the past few years, including The One Thing, by Gary Keller and Jay Papasan, The Confidence Code, by Claire Shipman and Katty Kay, Big Data, by Kenneth Cukier and Viktor Mayer-Schonberger, One Thousand Gifts, by Ann Voskamp, Take the Stairs, by Rory Vaden, How The World Sees You, by Sally Hogshead, Eat Move Sleep, by Tom Rath, Winning From Within, by Erica Ariel Fox and many, many others.
0.7244373565482595		SimpleArgument(The agency,List([0, 10)))	Relation(represented,List([11, 22)))	SimpleArgument(some of,List([23, 30)))	The agency represented some of the world's most well know authorities and brands, managed the launches of more than 30 New York Times and Wall Street Journal bestsellers, was named one of the top 10 marketing agencies in the country in 2015 and 2016 by research firm Clutch and led digital strategy for some of the biggest bestsellers of the past few years, including The One Thing, by Gary Keller and Jay Papasan, The Confidence Code, by Claire Shipman and Katty Kay, Big Data, by Kenneth Cukier and Viktor Mayer-Schonberger, One Thousand Gifts, by Ann Voskamp, Take the Stairs, by Rory Vaden, How The World Sees You, by Sally Hogshead, Eat Move Sleep, by Tom Rath, Winning From Within, by Erica Ariel Fox and many, many others.
0.5486284337544034		SimpleArgument(2016,List([0, 4)))	Relation(Take,List([45, 49)))	SimpleArgument(the Stairs,List([50, 60)))	The agency represented some of the world's most well know authorities and brands, managed the launches of more than 30 New York Times and Wall Street Journal bestsellers, was named one of the top 10 marketing agencies in the country in 2015 and 2016 by research firm Clutch and led digital strategy for some of the biggest bestsellers of the past few years, including The One Thing, by Gary Keller and Jay Papasan, The Confidence Code, by Claire Shipman and Katty Kay, Big Data, by Kenneth Cukier and Viktor Mayer-Schonberger, One Thousand Gifts, by Ann Voskamp, Take the Stairs, by Rory Vaden, How The World Sees You, by Sally Hogshead, Eat Move Sleep, by Tom Rath, Winning From Within, by Erica Ariel Fox and many, many others.
0.9541798734941929		SimpleArgument(One Thousand Gifts , by Ann Voskamp,List([7, 42)))	Relation(Take,List([45, 49)))	SimpleArgument(the Stairs,List([50, 60)))	The agency represented some of the world's most well know authorities and brands, managed the launches of more than 30 New York Times and Wall Street Journal bestsellers, was named one of the top 10 marketing agencies in the country in 2015 and 2016 by research firm Clutch and led digital strategy for some of the biggest bestsellers of the past few years, including The One Thing, by Gary Keller and Jay Papasan, The Confidence Code, by Claire Shipman and Katty Kay, Big Data, by Kenneth Cukier and Viktor Mayer-Schonberger, One Thousand Gifts, by Ann Voskamp, Take the Stairs, by Rory Vaden, How The World Sees You, by Sally Hogshead, Eat Move Sleep, by Tom Rath, Winning From Within, by Erica Ariel Fox and many, many others.
0.9929999709129333		SimpleArgument(The agency,List([0, 0)))	Relation(was named in,List([0, 0)))	SimpleArgument(2015,List(null))	The agency represented some of the world's most well know authorities and brands, managed the launches of more than 30 New York Times and Wall Street Journal bestsellers, was named one of the top 10 marketing agencies in the country in 2015 and 2016 by research firm Clutch and led digital strategy for some of the biggest bestsellers of the past few years, including The One Thing, by Gary Keller and Jay Papasan, The Confidence Code, by Claire Shipman and Katty Kay, Big Data, by Kenneth Cukier and Viktor Mayer-Schonberger, One Thousand Gifts, by Ann Voskamp, Take the Stairs, by Rory Vaden, How The World Sees You, by Sally Hogshead, Eat Move Sleep, by Tom Rath, Winning From Within, by Erica Ariel Fox and many, many others.
0.8726869446304376		SimpleArgument(The World,List([159, 168)))	Relation(Sees,List([169, 173)))	SimpleArgument(You,List([174, 177)))	The agency represented some of the world's most well know authorities and brands, managed the launches of more than 30 New York Times and Wall Street Journal bestsellers, was named one of the top 10 marketing agencies in the country in 2015 and 2016 by research firm Clutch and led digital strategy for some of the biggest bestsellers of the past few years, including The One Thing, by Gary Keller and Jay Papasan, The Confidence Code, by Claire Shipman and Katty Kay, Big Data, by Kenneth Cukier and Viktor Mayer-Schonberger, One Thousand Gifts, by Ann Voskamp, Take the Stairs, by Rory Vaden, How The World Sees You, by Sally Hogshead, Eat Move Sleep, by Tom Rath, Winning From Within, by Erica Ariel Fox and many, many others.
0.8797652531099371		SimpleArgument(The agency,List([0, 10)))	Relation(was named one of the top 10 marketing agencies in the country by,List([11, 20), [21, 72), [217, 219)))	SimpleArgument(Tom Rath,List([220, 228)))	The agency represented some of the world's most well know authorities and brands, managed the launches of more than 30 New York Times and Wall Street Journal bestsellers, was named one of the top 10 marketing agencies in the country in 2015 and 2016 by research firm Clutch and led digital strategy for some of the biggest bestsellers of the past few years, including The One Thing, by Gary Keller and Jay Papasan, The Confidence Code, by Claire Shipman and Katty Kay, Big Data, by Kenneth Cukier and Viktor Mayer-Schonberger, One Thousand Gifts, by Ann Voskamp, Take the Stairs, by Rory Vaden, How The World Sees You, by Sally Hogshead, Eat Move Sleep, by Tom Rath, Winning From Within, by Erica Ariel Fox and many, many others.
0.9372494423173455		SimpleArgument(The agency,List([0, 10)))	Relation(was named,List([11, 20)))	SimpleArgument(one of the top 10 marketing agencies in the country,List([21, 72)))	The agency represented some of the world's most well know authorities and brands, managed the launches of more than 30 New York Times and Wall Street Journal bestsellers, was named one of the top 10 marketing agencies in the country in 2015 and 2016 by research firm Clutch and led digital strategy for some of the biggest bestsellers of the past few years, including The One Thing, by Gary Keller and Jay Papasan, The Confidence Code, by Claire Shipman and Katty Kay, Big Data, by Kenneth Cukier and Viktor Mayer-Schonberger, One Thousand Gifts, by Ann Voskamp, Take the Stairs, by Rory Vaden, How The World Sees You, by Sally Hogshead, Eat Move Sleep, by Tom Rath, Winning From Within, by Erica Ariel Fox and many, many others.
0.48903187625367955		SimpleArgument(Our namesake,List([0, 12)))	Relation(remains,List([13, 20)))	SimpleArgument(the gathering point of our vibrant city,List([21, 60)))	Our namesake, Zilker Park, was founded in 1917 and remains the life-blood and gathering point of our vibrant city, hosting iconic Austin events such as Austin City Limits, Blues on the Green, Zilker Kite Festival and Trail of Lights, and is the home of famous Barton Springs.
0.48903187625367955		SimpleArgument(Our namesake,List([0, 12)))	Relation(remains,List([13, 20)))	SimpleArgument(the life - blood point of our vibrant city,List([21, 63)))	Our namesake, Zilker Park, was founded in 1917 and remains the life-blood and gathering point of our vibrant city, hosting iconic Austin events such as Austin City Limits, Blues on the Green, Zilker Kite Festival and Trail of Lights, and is the home of famous Barton Springs.
0.7378635968700462		SimpleArgument(Our namesake,List([0, 12)))	Relation(is,List([13, 15)))	SimpleArgument(the home of famous Barton Springs,List([16, 49)))	Our namesake, Zilker Park, was founded in 1917 and remains the life-blood and gathering point of our vibrant city, hosting iconic Austin events such as Austin City Limits, Blues on the Green, Zilker Kite Festival and Trail of Lights, and is the home of famous Barton Springs.
0.9929999709129333		SimpleArgument(Our namesake,List([0, 0)))	Relation(was founded in,List([0, 0)))	SimpleArgument(1917,List(null))	Our namesake, Zilker Park, was founded in 1917 and remains the life-blood and gathering point of our vibrant city, hosting iconic Austin events such as Austin City Limits, Blues on the Green, Zilker Kite Festival and Trail of Lights, and is the home of famous Barton Springs.
0.886695286966665		SimpleArgument(Zilker Park,List([15, 26)))	Relation([is] namesake [of],List([4, 12)))	SimpleArgument(Ours,List([0, 3)))	Our namesake, Zilker Park, was founded in 1917 and remains the life-blood and gathering point of our vibrant city, hosting iconic Austin events such as Austin City Limits, Blues on the Green, Zilker Kite Festival and Trail of Lights, and is the home of famous Barton Springs.
0.3444466732705899		SimpleArgument(Our namesake,List([0, 12)))	Relation(was founded in,List([29, 40), [41, 43)))	TemporalArgument(1917,List([44, 48)))	Our namesake, Zilker Park, was founded in 1917 and remains the life-blood and gathering point of our vibrant city, hosting iconic Austin events such as Austin City Limits, Blues on the Green, Zilker Kite Festival and Trail of Lights, and is the home of famous Barton Springs.
0.41051436014453063		SimpleArgument(we,List([0, 2)))	Relation(to be inspired by,List([12, 26), [27, 29)))	SimpleArgument(the community,List([30, 43)))	Our team grew up at Zilker Park and to this day we're not only regulars there but we continue to be inspired by the creativity and community the park inspires in Austin and beyond.
0.41051436014453063		SimpleArgument(we,List([0, 2)))	Relation(to be inspired by,List([12, 26), [27, 29)))	SimpleArgument(the creativity,List([30, 44)))	Our team grew up at Zilker Park and to this day we're not only regulars there but we continue to be inspired by the creativity and community the park inspires in Austin and beyond.
0.1948871917044894		SimpleArgument(we,List([0, 2)))	Relation(continue,List([3, 11)))		Our team grew up at Zilker Park and to this day we're not only regulars there but we continue to be inspired by the creativity and community the park inspires in Austin and beyond.
0.547338059826203		SimpleArgument(we,List([12, 14)))	Relation('re regulars to,List([0, 2), [15, 18), [28, 36)))	TemporalArgument(this day,List([3, 11)))	Our team grew up at Zilker Park and to this day we're not only regulars there but we continue to be inspired by the creativity and community the park inspires in Austin and beyond.
0.15939332484157967		SimpleArgument(we,List([12, 14)))	Relation('re regulars,List([15, 18), [28, 36)))	SpatialArgument(there,List([37, 42)))	Our team grew up at Zilker Park and to this day we're not only regulars there but we continue to be inspired by the creativity and community the park inspires in Austin and beyond.
0.6796597830231682		SimpleArgument(Our team,List([0, 8)))	Relation(grew up at,List([9, 16), [17, 19)))	SpatialArgument(Zilker Park,List([20, 31)))	Our team grew up at Zilker Park and to this day we're not only regulars there but we continue to be inspired by the creativity and community the park inspires in Austin and beyond.
