0.9374058759955192		SimpleArgument(a carbonated fruit juice drink,List([8, 38)))	Relation(sold in,List([39, 43), [44, 46)))	SpatialArgument(the UK,List([47, 53)))	SUSO is a carbonated fruit juice drink manufactured and sold in the UK.
0.9000738595917936		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to,List([87, 89), [100, 111), [112, 114)))	SimpleArgument(national supermarkets including Waitrose,List([115, 155)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.7971095979125887		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to national supermarkets including Morrisons,List([87, 89), [100, 111), [112, 156)))	TemporalArgument(currently,List([90, 99)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.955567584741561		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to national supermarkets including Morrisons,List([87, 89), [100, 111), [112, 156)))	TemporalArgument(Launched into the UK market with a £4 million marketing budget in February 2008,List([0, 79)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.9000738595917936		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to,List([87, 89), [100, 111), [112, 114)))	SimpleArgument(national supermarkets including Morrisons,List([115, 156)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.7971095979125887		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to national supermarkets including Asda,List([87, 89), [100, 111), [112, 151)))	TemporalArgument(currently,List([90, 99)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.955567584741561		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to national supermarkets including Asda,List([87, 89), [100, 111), [112, 151)))	TemporalArgument(Launched into the UK market with a £4 million marketing budget in February 2008,List([0, 79)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.9000738595917936		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to,List([87, 89), [100, 111), [112, 114)))	SimpleArgument(national supermarkets including Asda,List([115, 151)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.7971095979125887		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to national supermarkets including Sainsbury 's,List([87, 89), [100, 111), [112, 159)))	TemporalArgument(currently,List([90, 99)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.955567584741561		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to national supermarkets including Sainsbury 's,List([87, 89), [100, 111), [112, 159)))	TemporalArgument(Launched into the UK market with a £4 million marketing budget in February 2008,List([0, 79)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.9000738595917936		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to,List([87, 89), [100, 111), [112, 114)))	SimpleArgument(national supermarkets including Sainsbury 's,List([115, 159)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.7971095979125887		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to national supermarkets including Tesco,List([87, 89), [100, 111), [112, 152)))	TemporalArgument(currently,List([90, 99)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.955567584741561		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to national supermarkets including Tesco,List([87, 89), [100, 111), [112, 152)))	TemporalArgument(Launched into the UK market with a £4 million marketing budget in February 2008,List([0, 79)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.9000738595917936		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to,List([87, 89), [100, 111), [112, 114)))	SimpleArgument(national supermarkets including Tesco,List([115, 152)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.7971095979125887		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to over 600 UK secondary schools including Superdrug,List([87, 89), [100, 111), [112, 164)))	TemporalArgument(currently,List([90, 99)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.955567584741561		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to over 600 UK secondary schools including Superdrug,List([87, 89), [100, 111), [112, 164)))	TemporalArgument(Launched into the UK market with a £4 million marketing budget in February 2008,List([0, 79)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.9000738595917936		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to,List([87, 89), [100, 111), [112, 114)))	SimpleArgument(over 600 UK secondary schools including Superdrug,List([115, 164)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.7971095979125887		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to over 600 UK secondary schools including Waitrose,List([87, 89), [100, 111), [112, 163)))	TemporalArgument(currently,List([90, 99)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.955567584741561		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to over 600 UK secondary schools including Waitrose,List([87, 89), [100, 111), [112, 163)))	TemporalArgument(Launched into the UK market with a £4 million marketing budget in February 2008,List([0, 79)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.9000738595917936		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to,List([87, 89), [100, 111), [112, 114)))	SimpleArgument(over 600 UK secondary schools including Waitrose,List([115, 163)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.7971095979125887		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to over 600 UK secondary schools including Morrisons,List([87, 89), [100, 111), [112, 164)))	TemporalArgument(currently,List([90, 99)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.955567584741561		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to over 600 UK secondary schools including Morrisons,List([87, 89), [100, 111), [112, 164)))	TemporalArgument(Launched into the UK market with a £4 million marketing budget in February 2008,List([0, 79)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.9000738595917936		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to,List([87, 89), [100, 111), [112, 114)))	SimpleArgument(over 600 UK secondary schools including Morrisons,List([115, 164)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.7971095979125887		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to over 600 UK secondary schools including Asda,List([87, 89), [100, 111), [112, 159)))	TemporalArgument(currently,List([90, 99)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.955567584741561		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to over 600 UK secondary schools including Asda,List([87, 89), [100, 111), [112, 159)))	TemporalArgument(Launched into the UK market with a £4 million marketing budget in February 2008,List([0, 79)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.9000738595917936		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to,List([87, 89), [100, 111), [112, 114)))	SimpleArgument(over 600 UK secondary schools including Asda,List([115, 159)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.7971095979125887		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to over 600 UK secondary schools including Sainsbury 's,List([87, 89), [100, 111), [112, 167)))	TemporalArgument(currently,List([90, 99)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.955567584741561		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to over 600 UK secondary schools including Sainsbury 's,List([87, 89), [100, 111), [112, 167)))	TemporalArgument(Launched into the UK market with a £4 million marketing budget in February 2008,List([0, 79)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.9000738595917936		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to,List([87, 89), [100, 111), [112, 114)))	SimpleArgument(over 600 UK secondary schools including Sainsbury 's,List([115, 167)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.9929999709129333		SimpleArgument(SUSO,List([0, 0)))	Relation(is distributed to,List([0, 0)))	SimpleArgument(over 600 uk secondary schools,List(null))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.7971095979125887		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to over 600 UK secondary schools including Tesco,List([87, 89), [100, 111), [112, 160)))	TemporalArgument(currently,List([90, 99)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.955567584741561		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to over 600 UK secondary schools including Tesco,List([87, 89), [100, 111), [112, 160)))	TemporalArgument(Launched into the UK market with a £4 million marketing budget in February 2008,List([0, 79)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.9000738595917936		SimpleArgument(SUSO,List([82, 86)))	Relation(is distributed to,List([87, 89), [100, 111), [112, 114)))	SimpleArgument(over 600 UK secondary schools including Tesco,List([115, 160)))	Launched into the UK market with a £4 million marketing budget in February 2008, SUSO is currently distributed to over 600 UK secondary schools and national supermarkets including Tesco, Sainsbury's, Asda, Morrisons, Waitrose and Superdrug.
0.1948871917044894		SimpleArgument(It,List([0, 2)))	Relation(comes,List([3, 8)))		It comes in a 250ml can size available in five flavours: Berry, Orange, Apple, Lemon and Tropical.
0.8942434158739456		SimpleArgument(people,List([121, 127)))	Relation(to consume,List([128, 138)))	SimpleArgument(five portions of vegetables per day,List([139, 174)))	The can is marked as supplying "One of your five-a-day", a reference to the UK government's program to encourage people to consume five portions of fruit and/or vegetables per day.
0.928319312100383		SimpleArgument(the UK government 's,List([79, 99)))	Relation(to encourage people to,List([108, 120), [121, 127), [128, 130)))	SimpleArgument(consume five portions of vegetables per day,List([131, 174)))	The can is marked as supplying "One of your five-a-day", a reference to the UK government's program to encourage people to consume five portions of fruit and/or vegetables per day.
0.8942434158739456		SimpleArgument(people,List([121, 127)))	Relation(to consume,List([128, 138)))	SimpleArgument(five portions of fruit,List([139, 161)))	The can is marked as supplying "One of your five-a-day", a reference to the UK government's program to encourage people to consume five portions of fruit and/or vegetables per day.
0.928319312100383		SimpleArgument(the UK government 's,List([79, 99)))	Relation(to encourage people to,List([108, 120), [121, 127), [128, 130)))	SimpleArgument(consume five portions of fruit,List([131, 161)))	The can is marked as supplying "One of your five-a-day", a reference to the UK government's program to encourage people to consume five portions of fruit and/or vegetables per day.
0.928319312100383		SimpleArgument(the UK government 's,List([79, 99)))	Relation(to encourage,List([108, 120)))	SimpleArgument(people,List([121, 127)))	The can is marked as supplying "One of your five-a-day", a reference to the UK government's program to encourage people to consume five portions of fruit and/or vegetables per day.
0.9070256105064161		SimpleArgument(The can,List([0, 7)))	Relation(is marked as,List([8, 17), [18, 20)))	SimpleArgument(supplying " One of your five - a - day " , a reference to the UK government 's program,List([21, 107)))	The can is marked as supplying "One of your five-a-day", a reference to the UK government's program to encourage people to consume five portions of fruit and/or vegetables per day.
0.9929999709129333		SimpleArgument(the brand,List([0, 0)))	Relation(was sold In,List([0, 0)))	SimpleArgument(2012,List(null))	In 2012, the brand was sold to Cott Beverages.
0.8281480256057071		SimpleArgument(the brand,List([9, 18)))	Relation(was sold to Cott Beverages In,List([0, 22), [23, 35), [36, 45)))	TemporalArgument(2012,List([3, 7)))	In 2012, the brand was sold to Cott Beverages.
0.9180804252893389		SimpleArgument(the brand,List([9, 18)))	Relation(was sold to,List([19, 27), [28, 30)))	SimpleArgument(Cott Beverages,List([31, 45)))	In 2012, the brand was sold to Cott Beverages.
