0.8942434158739456		SimpleArgument(Internet,List([53, 61)))	Relation(hosting,List([62, 69)))	SimpleArgument(services,List([70, 78)))	Active 24 is an independent pan-European provider of Internet hosting services.
0.9139478779591064	Context(the acquisition resulted,List([37, 61)))	SimpleArgument(Mamut,List([8, 13)))	Relation(was acquired by,List([14, 26), [27, 29)))	SimpleArgument(Visma,List([30, 35)))	In 2011 Mamut was acquired by Visma, the acquisition resulted in Active 24 becoming a standalone division within the Visma group.
0.8961335868436368		SimpleArgument(the acquisition,List([37, 52)))	Relation(resulted in Active 24,List([53, 61), [62, 74)))	SimpleArgument(becoming a standalone division within the Visma group,List([75, 128)))	In 2011 Mamut was acquired by Visma, the acquisition resulted in Active 24 becoming a standalone division within the Visma group.
0.8961335868436368		SimpleArgument(the acquisition,List([37, 52)))	Relation(resulted in,List([53, 61), [62, 64)))	SimpleArgument(Active 24,List([65, 74)))	In 2011 Mamut was acquired by Visma, the acquisition resulted in Active 24 becoming a standalone division within the Visma group.
0.9045207649554154		SimpleArgument(the acquisition,List([37, 52)))	Relation(becoming,List([75, 83)))	SimpleArgument(a standalone division within the Visma group,List([84, 128)))	In 2011 Mamut was acquired by Visma, the acquisition resulted in Active 24 becoming a standalone division within the Visma group.
0.6981802672629641		SimpleArgument(The group,List([0, 9)))	Relation(Hosting,List([41, 48)))		The group comprises six business areas; Visma BPO Accounting and Payroll, Visma Software, Visma Commerce Solutions, Visma Retail, Visma Projects and Consulting and Hosting.
0.9032970134745795		SimpleArgument(The group,List([0, 9)))	Relation(comprises six business areas,List([10, 19), [20, 38)))	SimpleArgument(Visma Software,List([41, 55)))	The group comprises six business areas; Visma BPO Accounting and Payroll, Visma Software, Visma Commerce Solutions, Visma Retail, Visma Projects and Consulting and Hosting.
0.9030401971054747		SimpleArgument(The group,List([0, 9)))	Relation(comprises,List([10, 19)))	SimpleArgument(six business areas,List([20, 38)))	The group comprises six business areas; Visma BPO Accounting and Payroll, Visma Software, Visma Commerce Solutions, Visma Retail, Visma Projects and Consulting and Hosting.
0.6129699864385257		SimpleArgument(Active 24,List([0, 9)))	Relation(are operational in,List([10, 13), [14, 25), [26, 28)))	SpatialArgument(12 markets* across Serbia,List([29, 54)))	Active 24 are operational in 12 markets* across Europe *Norway, Sweden, Denmark, Finland, Austria, Germany, France, United Kingdom, Netherlands, Czech Republic, Poland, and Serbia.
0.6129699864385257		SimpleArgument(Active 24,List([0, 9)))	Relation(are operational in,List([10, 13), [14, 25), [26, 28)))	SpatialArgument(12 markets* across Poland,List([29, 54)))	Active 24 are operational in 12 markets* across Europe *Norway, Sweden, Denmark, Finland, Austria, Germany, France, United Kingdom, Netherlands, Czech Republic, Poland, and Serbia.
0.6129699864385257		SimpleArgument(Active 24,List([0, 9)))	Relation(are operational in,List([10, 13), [14, 25), [26, 28)))	SpatialArgument(12 markets* across Czech Republic,List([29, 62)))	Active 24 are operational in 12 markets* across Europe *Norway, Sweden, Denmark, Finland, Austria, Germany, France, United Kingdom, Netherlands, Czech Republic, Poland, and Serbia.
0.6129699864385257		SimpleArgument(Active 24,List([0, 9)))	Relation(are operational in,List([10, 13), [14, 25), [26, 28)))	SpatialArgument(12 markets* across Netherlands,List([29, 59)))	Active 24 are operational in 12 markets* across Europe *Norway, Sweden, Denmark, Finland, Austria, Germany, France, United Kingdom, Netherlands, Czech Republic, Poland, and Serbia.
0.5083681586396115		SimpleArgument(Active 24,List([0, 9)))	Relation(are operational across,List([10, 13), [14, 25), [41, 47)))	SpatialArgument(United Kingdom,List([48, 62)))	Active 24 are operational in 12 markets* across Europe *Norway, Sweden, Denmark, Finland, Austria, Germany, France, United Kingdom, Netherlands, Czech Republic, Poland, and Serbia.
0.5682555286682759		SimpleArgument(Active 24,List([0, 9)))	Relation(are operational in,List([10, 13), [14, 25), [26, 28)))	SpatialArgument(12 markets*,List([29, 40)))	Active 24 are operational in 12 markets* across Europe *Norway, Sweden, Denmark, Finland, Austria, Germany, France, United Kingdom, Netherlands, Czech Republic, Poland, and Serbia.
0.6129699864385257		SimpleArgument(Active 24,List([0, 9)))	Relation(are operational in,List([10, 13), [14, 25), [26, 28)))	SpatialArgument(12 markets* across France,List([29, 54)))	Active 24 are operational in 12 markets* across Europe *Norway, Sweden, Denmark, Finland, Austria, Germany, France, United Kingdom, Netherlands, Czech Republic, Poland, and Serbia.
0.6129699864385257		SimpleArgument(Active 24,List([0, 9)))	Relation(are operational in,List([10, 13), [14, 25), [26, 28)))	SpatialArgument(12 markets* across Germany,List([29, 55)))	Active 24 are operational in 12 markets* across Europe *Norway, Sweden, Denmark, Finland, Austria, Germany, France, United Kingdom, Netherlands, Czech Republic, Poland, and Serbia.
0.6129699864385257		SimpleArgument(Active 24,List([0, 9)))	Relation(are operational in,List([10, 13), [14, 25), [26, 28)))	SpatialArgument(12 markets* across Austria,List([29, 55)))	Active 24 are operational in 12 markets* across Europe *Norway, Sweden, Denmark, Finland, Austria, Germany, France, United Kingdom, Netherlands, Czech Republic, Poland, and Serbia.
0.6129699864385257		SimpleArgument(Active 24,List([0, 9)))	Relation(are operational in,List([10, 13), [14, 25), [26, 28)))	SpatialArgument(12 markets* across Finland,List([29, 55)))	Active 24 are operational in 12 markets* across Europe *Norway, Sweden, Denmark, Finland, Austria, Germany, France, United Kingdom, Netherlands, Czech Republic, Poland, and Serbia.
0.6129699864385257		SimpleArgument(Active 24,List([0, 9)))	Relation(are operational in,List([10, 13), [14, 25), [26, 28)))	SpatialArgument(12 markets* across Denmark,List([29, 55)))	Active 24 are operational in 12 markets* across Europe *Norway, Sweden, Denmark, Finland, Austria, Germany, France, United Kingdom, Netherlands, Czech Republic, Poland, and Serbia.
0.6129699864385257		SimpleArgument(Active 24,List([0, 9)))	Relation(are operational in,List([10, 13), [14, 25), [26, 28)))	SpatialArgument(12 markets* across Sweden,List([29, 54)))	Active 24 are operational in 12 markets* across Europe *Norway, Sweden, Denmark, Finland, Austria, Germany, France, United Kingdom, Netherlands, Czech Republic, Poland, and Serbia.
0.6129699864385257		SimpleArgument(Active 24,List([0, 9)))	Relation(are operational in,List([10, 13), [14, 25), [26, 28)))	SpatialArgument(12 markets* across Europe *Norway,List([29, 62)))	Active 24 are operational in 12 markets* across Europe *Norway, Sweden, Denmark, Finland, Austria, Germany, France, United Kingdom, Netherlands, Czech Republic, Poland, and Serbia.
0.31693683731371314		SimpleArgument(Active 24,List([0, 9)))	Relation(are,List([10, 13)))	SimpleArgument(operational,List([14, 25)))	Active 24 are operational in 12 markets* across Europe *Norway, Sweden, Denmark, Finland, Austria, Germany, France, United Kingdom, Netherlands, Czech Republic, Poland, and Serbia.
0.8847999636040884		SimpleArgument(Visma,List([0, 5)))	Relation(is a subsidiary of,List([6, 24)))	SimpleArgument(Kohlberg Kravis Roberts ( KKR ),List([25, 54)))	Visma is a subsidiary of Kohlberg Kravis Roberts (KKR).
0.9481947648689547		SimpleArgument(Visma,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(a subsidiary of Kohlberg Kravis Roberts,List([9, 48)))	Visma is a subsidiary of Kohlberg Kravis Roberts (KKR).
