0.7487987465728897		SimpleArgument(Adults,List([26, 32)))	Relation(Established in,List([33, 44), [45, 47)))	TemporalArgument(2008,List([48, 52)))	Orthodontic treatment for Children and Adults Established in 2008.
0.39213989408341976		SimpleArgument(he,List([70, 72)))	Relation(went on to,List([78, 85), [86, 88)))	SimpleArgument(Boston University,List([89, 106)))	After graduating from Tufts University with a degree in engineering, he earned his doctorate in dentistry at Stony Brook University and then went on to Boston University to complete his training in orthodontics.
0.5926659981335703		SimpleArgument(he,List([70, 72)))	Relation(earned his doctorate After,List([0, 5), [73, 83), [84, 93)))	TemporalArgument(graduating from Tufts University with a degree in engineering,List([6, 67)))	After graduating from Tufts University with a degree in engineering, he earned his doctorate in dentistry at Stony Brook University and then went on to Boston University to complete his training in orthodontics.
0.3929209860966329		SimpleArgument(he,List([70, 72)))	Relation(earned his doctorate at,List([73, 79), [80, 93), [107, 109)))	SpatialArgument(Stony Brook University,List([110, 132)))	After graduating from Tufts University with a degree in engineering, he earned his doctorate in dentistry at Stony Brook University and then went on to Boston University to complete his training in orthodontics.
0.45170382506656653		SimpleArgument(he,List([70, 72)))	Relation(earned his doctorate in,List([73, 79), [80, 93), [94, 96)))	TemporalArgument(dentistry,List([97, 106)))	After graduating from Tufts University with a degree in engineering, he earned his doctorate in dentistry at Stony Brook University and then went on to Boston University to complete his training in orthodontics.
0.30899953469486874		SimpleArgument(he,List([70, 72)))	Relation(earned,List([73, 79)))	SimpleArgument(his doctorate,List([80, 93)))	After graduating from Tufts University with a degree in engineering, he earned his doctorate in dentistry at Stony Brook University and then went on to Boston University to complete his training in orthodontics.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(has been practicing orthodontics since,List([3, 22), [23, 35), [36, 41)))	TemporalArgument(1999,List([42, 46)))	He has been practicing orthodontics since 1999.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(has been practicing,List([3, 22)))	SimpleArgument(orthodontics,List([23, 35)))	He has been practicing orthodontics since 1999.
0.8406891599730786	Context(Dr. Finelli likes,List([37, 54)))	SimpleArgument(Dr. Finelli,List([37, 48)))	Relation(likes to spend,List([49, 54), [55, 63)))	SimpleArgument(his enjoying the outdoors with his wife,List([64, 103)))	When not creating beautiful smiles, Dr. Finelli likes to spend his free time running, golfing and enjoying the outdoors with his daughter and wife.
0.9353755837808375		SimpleArgument(Dr. Finelli,List([37, 48)))	Relation(likes to spend his enjoying the outdoors with his wife,List([49, 54), [55, 103)))	TemporalArgument(When not creating beautiful smiles,List([0, 34)))	When not creating beautiful smiles, Dr. Finelli likes to spend his free time running, golfing and enjoying the outdoors with his daughter and wife.
0.8406891599730786		SimpleArgument(Dr. Finelli,List([37, 48)))	Relation(likes to,List([49, 54), [55, 57)))	SimpleArgument(spend his enjoying the outdoors with his wife,List([58, 103)))	When not creating beautiful smiles, Dr. Finelli likes to spend his free time running, golfing and enjoying the outdoors with his daughter and wife.
0.6911319233607592	Context(Dr. Finelli likes to spend,List([37, 63)))	SimpleArgument(Dr. Finelli,List([37, 48)))	Relation(likes to spend enjoying,List([49, 54), [55, 63), [68, 76)))	SimpleArgument(the outdoors,List([77, 89)))	When not creating beautiful smiles, Dr. Finelli likes to spend his free time running, golfing and enjoying the outdoors with his daughter and wife.
0.8406891599730786	Context(Dr. Finelli likes,List([37, 54)))	SimpleArgument(Dr. Finelli,List([37, 48)))	Relation(likes to spend,List([49, 54), [55, 63)))	SimpleArgument(his enjoying the outdoors with his daughter,List([64, 107)))	When not creating beautiful smiles, Dr. Finelli likes to spend his free time running, golfing and enjoying the outdoors with his daughter and wife.
0.9353755837808375		SimpleArgument(Dr. Finelli,List([37, 48)))	Relation(likes to spend his enjoying the outdoors with his daughter,List([49, 54), [55, 107)))	TemporalArgument(When not creating beautiful smiles,List([0, 34)))	When not creating beautiful smiles, Dr. Finelli likes to spend his free time running, golfing and enjoying the outdoors with his daughter and wife.
0.8406891599730786		SimpleArgument(Dr. Finelli,List([37, 48)))	Relation(likes to,List([49, 54), [55, 57)))	SimpleArgument(spend his enjoying the outdoors with his daughter,List([58, 107)))	When not creating beautiful smiles, Dr. Finelli likes to spend his free time running, golfing and enjoying the outdoors with his daughter and wife.
0.8406891599730786	Context(Dr. Finelli likes,List([37, 54)))	SimpleArgument(Dr. Finelli,List([37, 48)))	Relation(likes to spend,List([49, 54), [55, 63)))	SimpleArgument(his golfing,List([64, 75)))	When not creating beautiful smiles, Dr. Finelli likes to spend his free time running, golfing and enjoying the outdoors with his daughter and wife.
0.9353755837808375		SimpleArgument(Dr. Finelli,List([37, 48)))	Relation(likes to spend his golfing,List([49, 54), [55, 75)))	TemporalArgument(When not creating beautiful smiles,List([0, 34)))	When not creating beautiful smiles, Dr. Finelli likes to spend his free time running, golfing and enjoying the outdoors with his daughter and wife.
0.8406891599730786		SimpleArgument(Dr. Finelli,List([37, 48)))	Relation(likes to,List([49, 54), [55, 57)))	SimpleArgument(spend his golfing,List([58, 75)))	When not creating beautiful smiles, Dr. Finelli likes to spend his free time running, golfing and enjoying the outdoors with his daughter and wife.
0.8406891599730786	Context(Dr. Finelli likes,List([37, 54)))	SimpleArgument(Dr. Finelli,List([37, 48)))	Relation(likes to spend,List([49, 54), [55, 63)))	SimpleArgument(his free time running,List([64, 85)))	When not creating beautiful smiles, Dr. Finelli likes to spend his free time running, golfing and enjoying the outdoors with his daughter and wife.
0.9353755837808375		SimpleArgument(Dr. Finelli,List([37, 48)))	Relation(likes to spend his free time running,List([49, 54), [55, 85)))	TemporalArgument(When not creating beautiful smiles,List([0, 34)))	When not creating beautiful smiles, Dr. Finelli likes to spend his free time running, golfing and enjoying the outdoors with his daughter and wife.
0.8406891599730786		SimpleArgument(Dr. Finelli,List([37, 48)))	Relation(likes to,List([49, 54), [55, 57)))	SimpleArgument(spend his free time running,List([58, 85)))	When not creating beautiful smiles, Dr. Finelli likes to spend his free time running, golfing and enjoying the outdoors with his daughter and wife.
