0.9550945378592375	Context(England held,List([63, 75)))	SimpleArgument(The Nottingham 'Robin Hood' Marathon,List([0, 36)))	Relation(is,List([38, 40)))	SimpleArgument(a race in Nottingham,List([41, 61)))	The Nottingham 'Robin Hood' Marathon, is a race in Nottingham, England held every year since 1981.
0.9640827750857294		SimpleArgument(the Victoria Embankment,List([45, 68)))	Relation(taking in,List([69, 75), [76, 78)))	SpatialArgument(some of Nottingham 's most scenic sights , including the City Centre,List([79, 147)))	From 1982 onwards the race has started and finished from the Victoria Embankment taking in some of Nottingham's most historical and scenic sights, including the City Centre and Nottingham Castle, Wollaton Park, the University of Nottingham and the National Watersports Centre at Holme Pierrepont.
0.9640827750857294		SimpleArgument(the Victoria Embankment,List([45, 68)))	Relation(taking in,List([69, 75), [76, 78)))	SpatialArgument(some of Nottingham 's most historical sights , including the National Watersports Centre at Holme Pierrepont,List([79, 187)))	From 1982 onwards the race has started and finished from the Victoria Embankment taking in some of Nottingham's most historical and scenic sights, including the City Centre and Nottingham Castle, Wollaton Park, the University of Nottingham and the National Watersports Centre at Holme Pierrepont.
0.9640827750857294		SimpleArgument(the Victoria Embankment,List([45, 68)))	Relation(taking in,List([69, 75), [76, 78)))	SpatialArgument(some of Nottingham 's most historical sights , including the University of Nottingham,List([79, 164)))	From 1982 onwards the race has started and finished from the Victoria Embankment taking in some of Nottingham's most historical and scenic sights, including the City Centre and Nottingham Castle, Wollaton Park, the University of Nottingham and the National Watersports Centre at Holme Pierrepont.
0.9640827750857294		SimpleArgument(the Victoria Embankment,List([45, 68)))	Relation(taking in,List([69, 75), [76, 78)))	SpatialArgument(some of Nottingham 's most historical sights , including the Wollaton Park,List([79, 153)))	From 1982 onwards the race has started and finished from the Victoria Embankment taking in some of Nottingham's most historical and scenic sights, including the City Centre and Nottingham Castle, Wollaton Park, the University of Nottingham and the National Watersports Centre at Holme Pierrepont.
0.9640827750857294		SimpleArgument(the Victoria Embankment,List([45, 68)))	Relation(taking in,List([69, 75), [76, 78)))	SpatialArgument(some of Nottingham 's most historical sights , including the Nottingham Castle,List([79, 157)))	From 1982 onwards the race has started and finished from the Victoria Embankment taking in some of Nottingham's most historical and scenic sights, including the City Centre and Nottingham Castle, Wollaton Park, the University of Nottingham and the National Watersports Centre at Holme Pierrepont.
0.9640827750857294		SimpleArgument(the Victoria Embankment,List([45, 68)))	Relation(taking in,List([69, 75), [76, 78)))	SpatialArgument(some of Nottingham 's most historical sights , including the City Centre,List([79, 151)))	From 1982 onwards the race has started and finished from the Victoria Embankment taking in some of Nottingham's most historical and scenic sights, including the City Centre and Nottingham Castle, Wollaton Park, the University of Nottingham and the National Watersports Centre at Holme Pierrepont.
0.8879820886958647		SimpleArgument(Runners World Magazine readers,List([8, 38)))	Relation(voted the race In,List([0, 2), [39, 48), [49, 53)))	TemporalArgument(2005,List([3, 7)))	In 2005 Runners World Magazine readers voted the race the number two marathon in the United Kingdom.
0.9485479188231729		SimpleArgument(Runners World Magazine readers,List([8, 38)))	Relation(voted the race,List([39, 44), [45, 53)))	TemporalArgument(the number two marathon in the United Kingdom,List([54, 99)))	In 2005 Runners World Magazine readers voted the race the number two marathon in the United Kingdom.
0.9387281236502384		SimpleArgument(Runners World Magazine readers,List([8, 38)))	Relation(voted,List([39, 44)))	SimpleArgument(the race,List([45, 53)))	In 2005 Runners World Magazine readers voted the race the number two marathon in the United Kingdom.
0.9250606141558615		SimpleArgument(The full marathon,List([0, 17)))	Relation(was dropped for the 2012 event because,List([18, 29), [30, 48), [49, 56)))	SimpleArgument(of "issues with the route around Holme Pierrepont,List([57, 106)))	The full marathon was dropped for the 2012 event because of "issues with the route around Holme Pierrepont".
0.9111779447320654		SimpleArgument(The full marathon,List([0, 17)))	Relation(was dropped for,List([18, 29), [30, 33)))	SimpleArgument(the 2012 event,List([34, 48)))	The full marathon was dropped for the 2012 event because of "issues with the route around Holme Pierrepont".
0.9256263201643982		SimpleArgument(The half-marathon event,List([0, 23)))	Relation(was held on,List([24, 32), [33, 35)))	SpatialArgument(a revised route,List([36, 51)))	The half-marathon event was held on a revised route.
