0.9342893671889873		SimpleArgument(PlayStation Blog (also stylized as PlayStation.Blog,List([0, 51)))	Relation(is,List([53, 55)))	SimpleArgument(a PlayStation focused blog,List([56, 82)))	PlayStation Blog (also stylized as PlayStation.Blog) is a PlayStation focused blog.
0.9374058759955192		SimpleArgument(behind - the - scene,List([0, 20)))	Relation(takes with,List([21, 26), [27, 31)))	SimpleArgument(major video gaming companies such as Square Enix,List([32, 80)))	It often features exclusive interviews and behind-the-scene takes with major video gaming companies such as Square Enix as well as posts from high-ranking Sony Computer Entertainment executives such as Jack Tretton, President and Chief Executive Officer of Sony Computer Entertainment.
0.3048426724432105		SimpleArgument(It,List([0, 2)))	Relation(features exclusive interviews,List([9, 17), [18, 38)))	TemporalArgument(often,List([3, 8)))	It often features exclusive interviews and behind-the-scene takes with major video gaming companies such as Square Enix as well as posts from high-ranking Sony Computer Entertainment executives such as Jack Tretton, President and Chief Executive Officer of Sony Computer Entertainment.
0.41051436014453063		SimpleArgument(It,List([0, 2)))	Relation(features,List([9, 17)))	SimpleArgument(exclusive interviews,List([18, 38)))	It often features exclusive interviews and behind-the-scene takes with major video gaming companies such as Square Enix as well as posts from high-ranking Sony Computer Entertainment executives such as Jack Tretton, President and Chief Executive Officer of Sony Computer Entertainment.
0.619523342365688		SimpleArgument(They,List([0, 4)))	Relation(organize,List([10, 18)))	SimpleArgument(events for PlayStation fans throughout the United States,List([19, 75)))	They also organize activities and events for PlayStation fans throughout the United States.
0.619523342365688		SimpleArgument(They,List([0, 4)))	Relation(organize,List([10, 18)))	SimpleArgument(activities for PlayStation fans throughout the United States,List([19, 79)))	They also organize activities and events for PlayStation fans throughout the United States.
0.9541798734941929		SimpleArgument(A European version of the PlayStation Blog,List([0, 42)))	Relation(was launched on,List([78, 90), [91, 93)))	TemporalArgument(May 28, 2009,List([94, 106)))	A European version of the PlayStation Blog, known as PlayStation Blog Europe, was launched on May 28, 2009.
0.9541798734941929		SimpleArgument(A European version of the PlayStation Blog,List([0, 42)))	Relation(known as,List([44, 49), [50, 52)))	SimpleArgument(PlayStation Blog Europe,List([53, 76)))	A European version of the PlayStation Blog, known as PlayStation Blog Europe, was launched on May 28, 2009.
0.9143456855143793		SimpleArgument(Android users,List([0, 13)))	Relation(to read,List([23, 30)))	SimpleArgument(the European blog,List([31, 48)))	iOS and Android users are able to read the European blog on their mobile devices via the Official PlayStation App.
0.9297147399762508		SimpleArgument(Android users,List([0, 13)))	Relation(are,List([14, 17)))	SimpleArgument(able to read the European blog on their mobile devices via the Official PlayStation App,List([18, 105)))	iOS and Android users are able to read the European blog on their mobile devices via the Official PlayStation App.
0.8772656277736296		SimpleArgument(iOS,List([0, 3)))	Relation(to read,List([13, 20)))	SimpleArgument(the European blog,List([21, 38)))	iOS and Android users are able to read the European blog on their mobile devices via the Official PlayStation App.
0.8985497890780633		SimpleArgument(iOS,List([0, 3)))	Relation(are,List([4, 7)))	SimpleArgument(able to read the European blog on their mobile devices via the Official PlayStation App,List([8, 95)))	iOS and Android users are able to read the European blog on their mobile devices via the Official PlayStation App.
0.8867887520784036	Context(2010 allows,List([109, 126)))	SimpleArgument(readers,List([127, 134)))	Relation(to submit ideas to,List([135, 144), [145, 150), [151, 153)))	SimpleArgument(the PlayStation Blog team,List([154, 179)))	A new section of the North American PlayStation Blog called PlayStation Blog Share was launched on March 17, 2010 which allows readers to submit ideas to the PlayStation Blog team about anything PlayStation-related as well as vote on the ideas of other submissions.
0.8668367470739037	Context(2010 allows,List([109, 126)))	SimpleArgument(readers,List([127, 134)))	Relation(to submit,List([135, 144)))	SimpleArgument(ideas,List([145, 150)))	A new section of the North American PlayStation Blog called PlayStation Blog Share was launched on March 17, 2010 which allows readers to submit ideas to the PlayStation Blog team about anything PlayStation-related as well as vote on the ideas of other submissions.
0.6000992904049552		SimpleArgument(2010,List([109, 113)))	Relation(allows,List([120, 126)))	SimpleArgument(readers to submit ideas to the PlayStation Blog team about anything PlayStation-related as well as vote on the ideas of other submissions,List([127, 264)))	A new section of the North American PlayStation Blog called PlayStation Blog Share was launched on March 17, 2010 which allows readers to submit ideas to the PlayStation Blog team about anything PlayStation-related as well as vote on the ideas of other submissions.
0.9221262290623066		SimpleArgument(A new section of the North American PlayStation Blog,List([0, 52)))	Relation(called PlayStation Blog Share,List([53, 59), [60, 82)))	SimpleArgument(was launched on March 17,List([83, 107)))	A new section of the North American PlayStation Blog called PlayStation Blog Share was launched on March 17, 2010 which allows readers to submit ideas to the PlayStation Blog team about anything PlayStation-related as well as vote on the ideas of other submissions.
0.9221262290623066		SimpleArgument(A new section of the North American PlayStation Blog,List([0, 52)))	Relation(called,List([53, 59)))	SimpleArgument(PlayStation Blog Share,List([60, 82)))	A new section of the North American PlayStation Blog called PlayStation Blog Share was launched on March 17, 2010 which allows readers to submit ideas to the PlayStation Blog team about anything PlayStation-related as well as vote on the ideas of other submissions.
0.8997345737322758	Context(the site was redesigned,List([49, 72)))	SimpleArgument(The blog,List([0, 8)))	Relation(underwent a facelift on,List([9, 18), [19, 29), [30, 32)))	TemporalArgument(March 14,List([33, 41)))	The blog underwent a facelift on March 14, 2011, the site was redesigned based on the most popular sections of the old site.
0.8817598924294554	Context(the site was redesigned,List([49, 72)))	SimpleArgument(The blog,List([0, 8)))	Relation(underwent,List([9, 18)))	SimpleArgument(a facelift,List([19, 29)))	The blog underwent a facelift on March 14, 2011, the site was redesigned based on the most popular sections of the old site.
0.6866340513862939		SimpleArgument(the site,List([49, 57)))	Relation(was redesigned,List([58, 72)))		The blog underwent a facelift on March 14, 2011, the site was redesigned based on the most popular sections of the old site.
0.9186941924198344		SimpleArgument(The new site design,List([0, 19)))	Relation(was also used to,List([20, 33), [34, 36)))	SimpleArgument(commemorate the 4th anniversary of the site,List([37, 80)))	The new site design was also used to commemorate the 4th anniversary of the site.
