0.8035805246360428		SimpleArgument(Guangzhou Xinghe Aluminum Composite Panel Co., Ltd.,List([0, 51)))	Relation(was established in,List([52, 67), [68, 70)))	TemporalArgument(2001,List([71, 75)))	Guangzhou Xinghe Aluminum Composite Panel Co., Ltd. was established in 2001.
0.7728580355942064		SimpleArgument(Our products,List([0, 12)))	Relation(successively passed,List([13, 32)))	SimpleArgument(the random inspection of the Building Material Research Center of The ACP Product Test Center,List([33, 126)))	Our products were praised by the Bureau of Building Materials Industry of China as ''Green Building Material Products'', successively passed the random inspection of the Building Material Research Center of The State and ACP Product Quality Supervision and Test Center and were confirmed to be the industrial standard.
0.7728580355942064		SimpleArgument(Our products,List([0, 12)))	Relation(successively passed,List([13, 32)))	SimpleArgument(the random inspection of the Building Material Research Center of The State Test Center,List([33, 120)))	Our products were praised by the Bureau of Building Materials Industry of China as ''Green Building Material Products'', successively passed the random inspection of the Building Material Research Center of The State and ACP Product Quality Supervision and Test Center and were confirmed to be the industrial standard.
0.7728580355942064		SimpleArgument(Our products,List([0, 12)))	Relation(successively passed,List([13, 32)))	SimpleArgument(the random inspection of the Building Material Research Center of The ACP Product Quality Supervision,List([33, 134)))	Our products were praised by the Bureau of Building Materials Industry of China as ''Green Building Material Products'', successively passed the random inspection of the Building Material Research Center of The State and ACP Product Quality Supervision and Test Center and were confirmed to be the industrial standard.
0.7728580355942064		SimpleArgument(Our products,List([0, 12)))	Relation(successively passed,List([13, 32)))	SimpleArgument(the random inspection of the Building Material Research Center of The State Quality Supervision,List([33, 128)))	Our products were praised by the Bureau of Building Materials Industry of China as ''Green Building Material Products'', successively passed the random inspection of the Building Material Research Center of The State and ACP Product Quality Supervision and Test Center and were confirmed to be the industrial standard.
0.598467018900354		SimpleArgument(Our products,List([0, 12)))	Relation(to be,List([28, 33)))	SimpleArgument(the industrial standard,List([34, 57)))	Our products were praised by the Bureau of Building Materials Industry of China as ''Green Building Material Products'', successively passed the random inspection of the Building Material Research Center of The State and ACP Product Quality Supervision and Test Center and were confirmed to be the industrial standard.
0.34126987926214963		SimpleArgument(Our products,List([0, 12)))	Relation(were confirmed,List([13, 27)))		Our products were praised by the Bureau of Building Materials Industry of China as ''Green Building Material Products'', successively passed the random inspection of the Building Material Research Center of The State and ACP Product Quality Supervision and Test Center and were confirmed to be the industrial standard.
0.7728580355942064		SimpleArgument(Our products,List([0, 12)))	Relation(were praised by,List([13, 25), [26, 28)))	SimpleArgument(the Bureau of Building Materials Industry of China as '' Green Building Material Products,List([29, 118)))	Our products were praised by the Bureau of Building Materials Industry of China as ''Green Building Material Products'', successively passed the random inspection of the Building Material Research Center of The State and ACP Product Quality Supervision and Test Center and were confirmed to be the industrial standard.
0.5110386281769846		SimpleArgument(They,List([0, 4)))	Relation(are recommended as,List([5, 20), [57, 59)))	SimpleArgument(excellent products,List([60, 78)))	They are recommended by the Ministry of the Construction as excellent products.
0.6582659227599074		SimpleArgument(They,List([0, 4)))	Relation(are recommended by,List([5, 20), [21, 23)))	SimpleArgument(the Ministry of the Construction,List([24, 56)))	They are recommended by the Ministry of the Construction as excellent products.
0.8131408756488548		SimpleArgument(Thanks,List([0, 6)))	Relation(are chosen by,List([7, 17), [18, 20)))	SimpleArgument(a number of large buildings,List([21, 48)))	Thanks to excellent quality, perfect marketing and good after-sales service, our products have been in active demand in every part of the country and are chosen by a number of priority projects and large buildings.
0.8131408756488548		SimpleArgument(Thanks,List([0, 6)))	Relation(are chosen by,List([7, 17), [18, 20)))	SimpleArgument(a number of priority projects,List([21, 50)))	Thanks to excellent quality, perfect marketing and good after-sales service, our products have been in active demand in every part of the country and are chosen by a number of priority projects and large buildings.
0.6381012045821894		SimpleArgument(our products,List([30, 42)))	Relation(have been in,List([43, 52), [53, 55)))	SimpleArgument(active demand in every part of the country,List([56, 98)))	Thanks to excellent quality, perfect marketing and good after-sales service, our products have been in active demand in every part of the country and are chosen by a number of priority projects and large buildings.
0.619523342365688		SimpleArgument(They,List([0, 4)))	Relation(sell well in,List([10, 19), [20, 22)))	SpatialArgument(Southeast Asia,List([23, 37)))	They also sell well in Europe and Southeast Asia.
0.619523342365688		SimpleArgument(They,List([0, 4)))	Relation(sell well in,List([10, 19), [20, 22)))	SpatialArgument(Europe,List([23, 29)))	They also sell well in Europe and Southeast Asia.
0.1948871917044894		SimpleArgument(us,List([42, 44)))	Relation(to develop internationally,List([45, 71)))		The modern marketing network will promote us to develop internationally.
0.7993302626692174		SimpleArgument(The modern marketing network,List([0, 28)))	Relation(will promote us to,List([29, 41), [42, 44), [45, 47)))	SimpleArgument(develop internationally,List([48, 71)))	The modern marketing network will promote us to develop internationally.
0.859811354567563		SimpleArgument(The modern marketing network,List([0, 28)))	Relation(will promote,List([29, 41)))	SimpleArgument(us,List([42, 44)))	The modern marketing network will promote us to develop internationally.
0.9030401971054747		SimpleArgument(Good quality,List([0, 12)))	Relation(makes,List([13, 18)))	SimpleArgument(good brand,List([19, 29)))	Good quality makes good brand!
0.2560951955542683	Context(We look forward,List([0, 15)))	SimpleArgument(We,List([0, 2)))	Relation(look forward to creating,List([3, 15), [16, 27)))	SimpleArgument(a better tomorrow for your brand,List([28, 60)))	We look forward to creating a better tomorrow for your brand.
0.2560951955542683		SimpleArgument(We,List([0, 2)))	Relation(look forward to,List([3, 15), [16, 18)))	SimpleArgument(creating a better tomorrow for your brand,List([19, 60)))	We look forward to creating a better tomorrow for your brand.
