0.8847999636040884		SimpleArgument(Belgrade,List([25, 33)))	Relation([is] Center [of],List([18, 24)))	SimpleArgument(Technical Testing,List([0, 17)))	Technical Testing Center Belgrade (TTC, Serbian: TOC "Tehnički opitni centar" Beograd) is a major Serbian Acceptance testing facility, headquartered in Belgrade, Serbia.
0.9433061007903466		SimpleArgument(The TTC,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(top - level military scientific institution in form of research center based in Serbia dealing with testing of all kinds existing military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army Air Force,List([11, 281)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9872943219926089		SimpleArgument(top - level military scientific institution in form of research center based in Serbia,List([11, 97)))	Relation(dealing with,List([98, 105), [106, 110)))	SimpleArgument(testing of all kinds existing military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army,List([111, 271)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9433061007903466		SimpleArgument(The TTC,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(top - level military scientific institution in form of research center based in Serbia dealing with testing of all kinds existing military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army : Ground Forces,List([11, 287)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9872943219926089		SimpleArgument(top - level military scientific institution in form of research center based in Serbia,List([11, 97)))	Relation(dealing with,List([98, 105), [106, 110)))	SimpleArgument(testing of all kinds new military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army civilian customers,List([111, 285)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9433061007903466		SimpleArgument(The TTC,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(top - level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army civilian customers,List([11, 285)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9872943219926089		SimpleArgument(top - level military scientific institution in form of research center based in Serbia,List([11, 97)))	Relation(dealing with,List([98, 105), [106, 110)))	SimpleArgument(testing of all kinds new military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army Yugoimport SDPR,List([111, 282)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9433061007903466		SimpleArgument(The TTC,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(top - level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army Yugoimport SDPR,List([11, 282)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9872943219926089		SimpleArgument(top - level military scientific institution in form of research center based in Serbia,List([11, 97)))	Relation(dealing with,List([98, 105), [106, 110)))	SimpleArgument(testing of all kinds new military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army Military Technical Institute Belgrade,List([111, 304)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9433061007903466		SimpleArgument(The TTC,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(top - level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army Military Technical Institute Belgrade,List([11, 304)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9872943219926089		SimpleArgument(top - level military scientific institution in form of research center based in Serbia,List([11, 97)))	Relation(dealing with,List([98, 105), [106, 110)))	SimpleArgument(testing of all kinds new military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army flotilla,List([111, 275)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9433061007903466		SimpleArgument(The TTC,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(top - level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army flotilla,List([11, 275)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9872943219926089		SimpleArgument(top - level military scientific institution in form of research center based in Serbia,List([11, 97)))	Relation(dealing with,List([98, 105), [106, 110)))	SimpleArgument(testing of all kinds new military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army River,List([111, 272)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9433061007903466		SimpleArgument(The TTC,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(top - level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army River,List([11, 272)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9872943219926089		SimpleArgument(top - level military scientific institution in form of research center based in Serbia,List([11, 97)))	Relation(dealing with,List([98, 105), [106, 110)))	SimpleArgument(testing of all kinds new military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army Air Force,List([111, 276)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9433061007903466		SimpleArgument(The TTC,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(top - level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army Air Force,List([11, 276)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9872943219926089		SimpleArgument(top - level military scientific institution in form of research center based in Serbia,List([11, 97)))	Relation(dealing with,List([98, 105), [106, 110)))	SimpleArgument(testing of all kinds new military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army,List([111, 266)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
0.9433061007903466		SimpleArgument(The TTC,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(top - level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new military aircraft , military vehicles , military equipment , battle systems , civilian products for all three services of the Army : Ground Forces,List([11, 282)))	The TTC is top-level military scientific institution in form of research center based in Serbia dealing with testing of all kinds new and existing military aircraft, military vehicles, military equipment, battle systems, civilian products for all three services of the Army: Ground Forces, Air Force and River flotilla, Military Technical Institute Belgrade, Yugoimport SDPR and civilian customers.
